dialect,divergence_score,wer_percentage,cer_percentage,lexical_diff_ratio,char_edit_distance,dialect_text,standard_text,word_diffs,source_file
D1,107.67,116.67,86.67,116.67,12,कर्जाची फेड करताना काय प्रोब्लेम नाय मा जा ?,कर्ज फेडताना मला काय अडचण येते?,[कर्जाची फेड करताना → कर्ज फेडताना मला] [INS: प्रोब्लेम नाय] [मा जा → अडचण येते],d1.csv
D1,107.67,116.67,86.67,116.67,6,खयची खयची बिया आम्ही सरायत लावक शकतु ?,कुठली वस्तू सरायला जाऊ शकतो का?,[INS: खयची] [खयची बिया आम्ही सरायत लावक शकतु → कुठली वस्तू सरायला जाऊ शकतो का],d1.csv
D1,107.5,125.0,66.67,125.0,7,केळीचे जाती खयचे खयचे आसत ?,केळीची जात काय आहे?,[INS: केळीचे] [जाती खयचे खयचे आसत → केळीची जात काय आहे],d1.csv
D1,106.96,137.5,35.71,137.5,8,कोणत्या पण बँकेच्या ऍप मधून तुमी तुमचो बॅक बॅलेन्स चेक करू शकतास,कोणत्याही बँकेच्या ॲपमधून तुम्ही तुमचे बॅलन्स तपासू शकता.,[INS: कोणत्या] [पण → कोणत्याही] [INS: ऍप मधून तुमी] [तुमचो बॅक बॅलेन्स चेक करू शकतास → ॲपमधून तुम्ही तुमचे बॅलन्स तपासू शकता],d1.csv
D1,106.5,120.0,75.0,120.0,5,विमा भरुच्यासाठी सगळयात चागंली कंपनी खयची ?,विम्यासाठी सर्वत्र कंपनीला काय लागते?,[INS: विमा] [भरुच्यासाठी सगळयात चागंली कंपनी खयची → विम्यासाठी सर्वत्र कंपनीला काय लागते],d1.csv
D1,106.45,125.0,63.16,125.0,7,अम्याचे जाती खयचे खयचे आसत ?,अम्याची जात काय आहे?,[INS: अम्याचे] [जाती खयचे खयचे आसत → अम्याची जात काय आहे],d1.csv
D1,105.82,120.0,72.73,120.0,15,"हा , काही कर्जा तू फोन पेन पण भरू शकतंस",हा काही कर्जे भरू शकतो,[INS: कर्जा तू फोन पेन] [पण → कर्जे] [शकतंस → शकतो],d1.csv
D1,105.6,120.0,72.0,120.0,12,फ्लॉवर वार्षिक झाड हा जा बी लाऊन घेतत,ते वार्षिक झाड घेऊन घेतात,[फ्लॉवर → ते] [INS: हा जा बी] [लाऊन घेतत → घेऊन घेतात],d1.csv
D1,105.24,116.67,78.57,116.67,11,कर्ज करारावर दोन्ही पक्ष परस्पर संमतीन स्वाक्षरी करतत,दोन्ही पक्षांनी करारावर स्वाक्षरी केली आहे,[INS: कर्ज करारावर] [INS: पक्ष] [परस्पर संमतीन → पक्षांनी करारावर] [करतत → केली] [DEL: आहे],d1.csv
D1,105.08,116.67,78.05,116.67,28,आमच्या गावातल्या सुरेशान सोताच येका म्हयन्यात ट्रॉलीवालो पंप बनयल्यान,आमच्या गावातील सुरेशने ट्रॉलीचा पंप बनवला,[INS: गावातल्या सुरेशान सोताच] [येका म्हयन्यात ट्रॉलीवालो → गावातील सुरेशने ट्रॉलीचा] [बनयल्यान → बनवला],d1.csv
D1,105.0,133.33,38.89,133.33,4,के.वाय.सी म्हटल्या काय ?,केवायसी म्हणजे काय?,[INS: के वाय] [सी म्हटल्या → केवायसी म्हणजे],d1.csv
D1,103.83,140.0,19.44,140.0,6,सुरेश ने कर्ज घेऊसाठी अनिल सोबत करार केलान,सुरेशने कर्जासाठी अनिलसोबत करार केला?,[INS: सुरेश ने कर्ज] [घेऊसाठी अनिल सोबत → सुरेशने कर्जासाठी अनिलसोबत] [केलान → केला],d1.csv
D1,103.5,125.0,53.33,125.0,5,माशे पकडूच्यासाठी माशाचा जाळां होया,मासे पकडण्यासाठी जाळ्या लागतात.,[INS: माशे] [पकडूच्यासाठी माशाचा जाळां होया → मासे पकडण्यासाठी जाळ्या लागतात],d1.csv
D1,103.02,125.0,51.72,125.0,6,सुरेश घाबराचा कारण नाय हा तु तुझ्या उत्पन्नाचो हिस्सो सरकाराक दे,सुरेश घाबरल्यामुळे तुझे उत्पन्नाचे हिस्सा सरकारला देऊ नकोस,[INS: घाबराचा कारण नाय] [हा तु तुझ्या उत्पन्नाचो हिस्सो सरकाराक दे → घाबरल्यामुळे तुझे उत्पन्नाचे हिस्सा सरकारला देऊ नकोस],d1.csv
D1,102.89,120.0,62.96,120.0,4,यू.पी.आय करून काय फायदो ?,UPI केल्याने काय फायदा होतो?,[INS: यू पी] [आय करून → UPI केल्याने] [फायदो → फायदा] [DEL: होतो],d1.csv
D1,102.78,114.29,75.93,114.29,1,केराटिनचो वापर आपण आपल्या केसांका प्रोटीन मिळूक करताव,आपण केसांमधून प्रोटीन मिळवण्यासाठी केराटिनचा वापर करतो,[INS: केराटिनचो वापर] [INS: आपल्या] [केसांका → केसांमधून] [मिळूक करताव → मिळवण्यासाठी केराटिनचा] [DEL: वापर करतो],d1.csv
D1,102.14,114.29,73.81,114.29,13,कर्ज घेताना कर्ज घेवची पात्रता आसा काय ह्या कसा तपासतात ?,कर्ज घेताना पात्रतेची तपासणी कशी केली जाते?,[INS: कर्ज घेवची पात्रता] [आसा काय ह्या कसा तपासतात → पात्रतेची तपासणी कशी केली जाते],d1.csv
D1,102.07,125.0,48.57,125.0,11,गुंतवणूक करण्यासाठी खयची खयची कागदपत्रा लागतात ?,गुंतवणुकीसाठी किती कागदपत्रे लागतात?,[INS: गुंतवणूक करण्यासाठी] [खयची खयची कागदपत्रा → गुंतवणुकीसाठी किती कागदपत्रे],d1.csv
D1,101.88,125.0,47.92,125.0,1,ठिबक सिंचाई की विधि से पानी और खाद की बचत होती है,ठिबक सिंचनाच्या पद्धतीने पाणी आणि खताची बचत होते.,[INS: सिंचाई की विधि] [से पानी और खाद की → सिंचनाच्या पद्धतीने पाणी आणि खताची] [INS: होती] [है → होते],d1.csv
D1,101.67,116.67,66.67,116.67,11,माका शेअरसाठी कर्ज काढूचा असा ता मी कसा काढू ?,मला शेअरसाठी कर्ज कसे काढायचे आहे?,[माका → मला] [INS: काढूचा असा ता] [मी कसा काढू → कसे काढायचे आहे],d1.csv
D1,101.58,112.5,76.09,112.5,5,शेती व्यवसायात ई कॉमर्स इल्यावर खयचो फायदो झालो आसा ?,ई कॉमर्सच्या माध्यमातून कुठे फायदा झाला आहे का?,[INS: शेती व्यवसायात] [कॉमर्स इल्यावर खयचो फायदो झालो आसा → कॉमर्सच्या माध्यमातून कुठे फायदा झाला आहे] [DEL: का],d1.csv
D1,101.38,116.67,65.71,116.67,2,स्वस्त नी मस्त अवजारा माका खडे मिळतीत ?,कधी स्वस्त आणि चांगले अवजारे मिळतील?,[INS: स्वस्त] [नी मस्त अवजारा माका खडे मिळतीत → कधी स्वस्त आणि चांगले अवजारे मिळतील],d1.csv
D1,101.06,114.29,70.21,114.29,7,सोन्याच्या कर्जाक माका तुमका खयली कागदपत्रा देऊक व्हयी ?,सोनेच्या कर्जाचे कागदपत्रे तुम्हाला देऊ शकता का?,[INS: सोन्याच्या] [कर्जाक माका तुमका खयली कागदपत्रा देऊक व्हयी → सोनेच्या कर्जाचे कागदपत्रे तुम्हाला देऊ शकता का],d1.csv
D1,100.58,120.0,55.26,120.0,11,वापरकर्ता मालमत्ता मालकाद्वारे भाड्यानं दिली जाता,वापरकर्त्याकडून मालकाला भाडे दिले जाते.,[INS: वापरकर्ता] [मालमत्ता मालकाद्वारे भाड्यानं दिली जाता → वापरकर्त्याकडून मालकाला भाडे दिले जाते],d1.csv
D1,100.53,133.33,24.0,133.33,5,सोयाबीन मध्ये प्रोटीन मोप असता,सोयाबीनमध्ये प्रोटीन असते,[INS: सोयाबीन] [मध्ये → सोयाबीनमध्ये] [INS: मोप] [असता → असते],d1.csv
D1,100.15,120.0,53.85,120.0,17,शेयर प्रमाणपत्र व्यक्तिक कंपनीच्या शेयरमध्ये हिस्सो देता,व्यक्ती कंपनीच्या शेअरमध्ये हिस्सा देतो.,[INS: शेयर प्रमाणपत्र] [व्यक्तिक → व्यक्ती] [शेयरमध्ये हिस्सो देता → शेअरमध्ये हिस्सा देतो],d1.csv
D1,99.31,116.67,58.82,116.67,1,पिंटू आपलो टॅक्स कित्याक नाय भरत हा ?,पिंटूला किती टक्के टॅक्स नाही भरतो?,[INS: पिंटू] [आपलो टॅक्स कित्याक नाय भरत हा → पिंटूला किती टक्के टॅक्स नाही भरतो],d1.csv
D1,99.31,116.67,58.82,116.67,5,"बाेरात खय गावतात, कितक्या भावान आसा माका?","बारात कुठे मिळतात, किती भावाने आहेत?",[INS: बाेरात] [खय गावतात कितक्या भावान आसा माका → बारात कुठे मिळतात किती भावाने आहेत],d1_aug.csv
D1,99.19,122.22,45.45,122.22,9,खर्च ह्या पैशाचा मू्ल्य हा जा कायतरी तयार करुसाठी वापरला गेला हा,या पैशाचे मूल्य काहीतरी तयार करण्यासाठी वापरले गेले आहे.,[INS: खर्च ह्या पैशाचा] [मू्ल्य हा जा कायतरी → या पैशाचे मूल्य काहीतरी] [करुसाठी वापरला गेला हा → करण्यासाठी वापरले गेले आहे],d1.csv
D1,99.13,112.5,67.92,112.5,25,गव्हाच्या पीक वाढीच्या अवस्थेत मिया गव्हाक खैयचा खैयचा अवस्थेत पाणी देउक शकताव ?,गव्हाच्या पिकाच्या वाढीच्या अवस्थेत पाणी देता शकता का?,[पीक → पिकाच्या] [INS: मिया गव्हाक खैयचा खैयचा अवस्थेत] [देउक शकताव → देता शकता] [DEL: का],d1.csv
D1,98.75,112.5,66.67,112.5,10,सगळ्या प्रकारची पाळीव जनावरां आपल्या खयल्या ना खयल्या उपेगाची आसततच,सर्व प्रकारच्या पाळीव प्राण्यांची तुमच्या कुठ्या गरज असते.,[सगळ्या प्रकारची → सर्व प्रकारच्या] [INS: जनावरां आपल्या] [खयल्या ना खयल्या उपेगाची आसततच → प्राण्यांची तुमच्या कुठ्या गरज असते],d1.csv
D1,98.65,111.11,69.57,111.11,7,"तुमच्या थंय खयचे जलस्त्रोत आसत , ह्या तुमका ठाऊक हा काय ?","तुमचा जलस्रोत काय आहे, हे तुम्हाला माहीत आहे का?",[INS: तुमच्या] [थंय खयचे जलस्त्रोत आसत ह्या तुमका ठाऊक हा काय → तुमचा जलस्रोत काय आहे हे तुम्हाला माहीत आहे का],d1.csv
D1,98.37,114.29,61.22,114.29,12,फिरत्या चराइचो उपयोग जास्त करान रवंथ करणाऱ्या ढोरांमध्ये करतत,फिरणारे लोक जास्त उपयोग करतात रवंथ करणाऱ्यांमध्ये,[INS: फिरत्या] [चराइचो उपयोग → फिरणारे लोक] [INS: करान] [रवंथ करणाऱ्या ढोरांमध्ये करतत → उपयोग करतात रवंथ करणाऱ्यांमध्ये],d1.csv
D1,97.89,114.29,59.62,114.29,22,सर्वसाधारणपणे कोणती खोटी आश्वासना नायतर कर अधिकाऱ्यांची खयली घोषणा नाय आसा,सर्वसाधारणपणे कोणती खोटी आश्वासने अधिकारी नाही देतात.,[INS: आश्वासना नायतर कर अधिकाऱ्यांची] [खयली घोषणा नाय आसा → आश्वासने अधिकारी नाही देतात],d1.csv
D1,97.73,114.29,59.09,114.29,4,मी घेतलाला कर्ज फेड करूची तारिक वाढवन मेलतली काय ?,मी घेतलेल्या कर्जाची फेडण्याची तारीख काय आहे?,[INS: घेतलाला कर्ज फेड] [करूची तारिक वाढवन मेलतली → घेतलेल्या कर्जाची फेडण्याची तारीख] [DEL: आहे],d1.csv
D1,97.24,120.0,44.12,120.0,2,ऑनलाइन पे करूचा साठी कसलो ऍप वापरूचो ?,ऑनलाइन पेमेंटसाठी कोणते ॲप वापरावे?,[INS: पे करूचा] [साठी कसलो ऍप वापरूचो → पेमेंटसाठी कोणते ॲप वापरावे],d1.csv
D1,96.86,120.0,42.86,120.0,6,कर्जाक अर्ज करुच्यासाठी खयचे खयचे कागदपत्र लागतत,कर्जासाठी अर्ज करण्यासाठी कागदपत्रे लागतात,[कर्जाक → कर्जासाठी] [INS: करुच्यासाठी खयचे] [खयचे कागदपत्र लागतत → करण्यासाठी कागदपत्रे लागतात],d1.csv
D1,96.86,120.0,42.86,120.0,11,खाता उघडुक बँकेच्या खात्याचो फार्म कसो घ्यायचो ?,बँकेच्या खात्याचा फॉर्म कसा घ्यायचा?,[INS: खाता उघडुक] [खात्याचो फार्म कसो घ्यायचो → खात्याचा फॉर्म कसा घ्यायचा],d1.csv
D1,96.84,100.0,89.47,100.0,14,भात शेती केवा करूची आणि कशी करुची ?,भात शेती कशी करायची?,[INS: केवा करूची आणि] [करुची → करायची],d1.csv
D1,96.67,116.67,50.0,116.67,11,सिक्युरिटीज यात डे ट्रेडिंग ह्यो येक प्रकारचो सट्टो असा,सिक्युरिटीजमध्ये डे ट्रेडिंग एक प्रकारचा आहे.,[INS: सिक्युरिटीज] [यात → सिक्युरिटीजमध्ये] [INS: ह्यो येक] [प्रकारचो सट्टो असा → एक प्रकारचा आहे],d1.csv
D1,96.09,100.0,86.96,100.0,9,लाल मातीयेक लाल माती कशाक म्हणतत ?,लाल माती कशाबद्दल बोलते?,[INS: मातीयेक लाल] [कशाक म्हणतत → कशाबद्दल बोलते],d1.csv
D1,95.88,114.29,52.94,114.29,2,सामाजिक योजना मिलवूक माका कोनते कागद तुमका देऊक व्हये ?,सामाजिक योजनेसाठी मला कोणते कागदपत्रे द्यावी लागतील?,[INS: योजना मिलवूक] [माका कोनते कागद तुमका देऊक व्हये → योजनेसाठी मला कोणते कागदपत्रे द्यावी लागतील],d1.csv
D1,95.75,114.29,52.5,114.29,11,जीवन विम्याचो हफ्तो माका ऑनलाइन भरूचो हा तो कसो भरू ?,जीवन विम्याचे हप्ते मला ऑनलाइन कसे भरावे?,[विम्याचो हफ्तो माका → विम्याचे हप्ते मला] [INS: भरूचो हा तो] [कसो भरू → कसे भरावे],d1.csv
D1,95.71,100.0,85.71,100.0,2,बास्ट,काय आहे?,[बास्ट → काय] [DEL: आहे],d1.csv
D1,95.67,111.11,59.65,111.11,11,"रताळ्याक वांगी याम , उबे नायतर तेच्यापेक्षा मोठो याम म्हणान सगळे ओळखतत","रताळ्यामध्ये वांगी आहेत, ते त्यापेक्षा मोठे सगळे ओळखत आहेत.",[रताळ्याक → रताळ्यामध्ये] [INS: याम उबे नायतर] [तेच्यापेक्षा मोठो याम म्हणान → आहेत ते त्यापेक्षा मोठे] [ओळखतत → ओळखत] [DEL: आहेत],d1.csv
D1,95.58,125.0,26.92,125.0,2,के.वाय.सी अद्ययावत कशी करुची ?,केवायसी अद्ययावत कसे करावे?,[INS: के वाय] [सी → केवायसी] [कशी करुची → कसे करावे],d1.csv
D1,95.54,120.0,38.46,120.0,4,खाता उघडूक काय काय कागदपत्रा लागतली ?,खाते उघडण्यासाठी कोणते कागदपत्रे लागतात?,[INS: खाता] [उघडूक काय काय कागदपत्रा लागतली → खाते उघडण्यासाठी कोणते कागदपत्रे लागतात],d1.csv
