dialect,divergence_score,wer_percentage,cer_percentage,lexical_diff_ratio,char_edit_distance,dialect_text,standard_text,word_diffs,source_file
D1,159.59,160.0,158.62,160.0,43,ई कॉमर्स पेमेंट सिस्टम म्हणून ओळखला जाणारा ऑनलाइन पेमेंट सेवा उपलब्ध असा,ऑनलाइन पेमेंट सेवा उपलब्ध आहे,[INS: ई कॉमर्स पेमेंट सिस्टम म्हणून ओळखला जाणारा] [असा → आहे],d1.csv
D4,157.65,200.0,58.82,200.0,3,के.वाय.सी कराच कोनचे कोनचे कागद लागते ?,केवायसीसाठी कोणते कागदपत्रे लागतात?,[INS: के वाय सी कराच] [कोनचे कोनचे कागद लागते → केवायसीसाठी कोणते कागदपत्रे लागतात],d4.csv
D4,157.44,166.67,135.9,166.67,29,प्रिंटींग पॅकेजिंग फिल्टर पेपर बुक टॉयलेट टिश्यूमध्ये कागदाचा वापर इ,कागदाचा वापर इतर साहित्यासाठी केला जातो,[INS: प्रिंटींग पॅकेजिंग फिल्टर पेपर] [बुक टॉयलेट टिश्यूमध्ये कागदाचा वापर इ → कागदाचा वापर इतर साहित्यासाठी केला जातो],d4.csv
D2,153.15,166.67,121.62,166.67,35,भारत मा तयार व्हनाऱ्या वस्तूस ना करता सोता भारतच एक महत्वानी बाजारपेठ शे,भारत स्वतः एक महत्त्वाची बाजारपेठ आहे.,[INS: मा तयार व्हनाऱ्या वस्तूस ना करता सोता] [भारतच → स्वतः] [महत्वानी → महत्त्वाची] [शे → आहे],d2.csv
D2,152.5,175.0,100.0,175.0,11,हाइड्रोपोनिक्सना वापर करिसन राजू टमाटरनं पीक लेस,राजूचे टोमॅटो हाइड्रोपोनिक्सने पिकवले,[INS: हाइड्रोपोनिक्सना वापर करिसन] [राजू टमाटरनं पीक लेस → राजूचे टोमॅटो हाइड्रोपोनिक्सने पिकवले],d2.csv
D2,152.05,180.0,86.84,180.0,16,छुटकी नी तिन्हा बापले किफायती दुकान ना बारा म्हा विचार,बारासाठी किफायती दुकानाबद्दल विचार आहे,[INS: छुटकी नी तिन्हा] [बापले → बारासाठी] [INS: दुकान ना बारा] [म्हा → दुकानाबद्दल] [DEL: आहे],d2.csv
D2,149.5,175.0,90.0,175.0,9,संदर्भ दरना बारामा रामकुमारनी त्याना पोरसले सांगं,रामकुमाराला त्याच्या पोरक्यांना सांगितले.,[INS: संदर्भ दरना बारामा] [रामकुमारनी त्याना पोरसले सांगं → रामकुमाराला त्याच्या पोरक्यांना सांगितले],d2.csv
D2,147.86,150.0,142.86,150.0,24,येक यापारी ब्यांक शे जी फकस्त ब्यांकना नावथीनच वयखतस,या बँकेला किती वेळ लागला आहे?,[INS: येक यापारी ब्यांक] [शे जी फकस्त ब्यांकना नावथीनच वयखतस → या बँकेला किती वेळ लागला आहे],d2.csv
D1,147.0,150.0,140.0,150.0,17,लीफ कर्ल ह्यो आजार कसो बरो व्हता ?,हे आजार कसे आहे?,[INS: लीफ कर्ल] [ह्यो → हे] [INS: कसो] [बरो व्हता → कसे आहे],d1.csv
D2,143.54,166.67,89.58,166.67,21,महेशनी चांगली समझदारीना मुळे फुलेसनी बजारम्हा आबिदेस ना फायदा लि लिदा,महेशाच्या चांगल्या समजुतीमुळे बाजारात फायदा होईल.,[INS: महेशनी चांगली समझदारीना मुळे] [फुलेसनी बजारम्हा आबिदेस ना → महेशाच्या चांगल्या समजुतीमुळे बाजारात] [INS: लि] [लिदा → होईल],d2.csv
D4,142.38,166.67,85.71,166.67,20,स्कॉलरशिप भेटासाठी मले खात खोलने गरजेचे हाय तर कुणाशी संपर्क करा लागन ?,स्कॉलरशिप मिळवण्यासाठी कोणाशी संपर्क साधावा लागेल?,[INS: भेटासाठी मले खात खोलने गरजेचे हाय] [तर कुणाशी → मिळवण्यासाठी कोणाशी] [करा लागन → साधावा लागेल],d4.csv
D2,142.26,166.67,85.29,166.67,27,भारत सरकारनी पेट्रोल वरला कर कमी करी देल शे आशे आयकाले येल शे,भारत सरकार पेट्रोलवरील कर कमी करेल,[INS: सरकारनी] [पेट्रोल वरला → सरकार पेट्रोलवरील] [INS: करी देल शे आशे आयकाले येल] [शे → करेल],d2.csv
D1,142.0,160.0,100.0,160.0,20,वरना पोणारो पाण्यतला रोप असा त्येका मुळा नसतत,पण त्या रोपाचे मुळे नसतात,[INS: वरना पोणारो पाण्यतला] [रोप असा त्येका मुळा नसतत → पण त्या रोपाचे मुळे नसतात],d1.csv
D2,142.0,160.0,100.0,160.0,27,"बियाण ड्रिल निश्चित करते कि , बियाणं समानतेने वाटप केलं जाईल",बियाणे समानतेने वाटप केले जातील,[INS: बियाण ड्रिल निश्चित करते कि] [बियाणं → बियाणे] [केलं जाईल → केले जातील],d2.csv
D4,141.79,175.0,64.29,175.0,11,के.वाय.सी करासाठी कोंते कोंते कागद लागन ?,केवायसीसाठी किती कागद लागतात?,[INS: के वाय सी करासाठी] [कोंते कोंते → केवायसीसाठी किती] [लागन → लागतात],d4.csv
D4,141.75,150.0,122.5,150.0,26,सबसॉयलर किंवा फ्लॅट लिफ्टर हे ट्रॅक्टर माउंट केलेले शेती उपकरण आहे,शेतीसाठी उपकरणांचा वापर करणारा उपकरण आहे,[INS: सबसॉयलर किंवा फ्लॅट लिफ्टर हे] [ट्रॅक्टर माउंट केलेले शेती → शेतीसाठी उपकरणांचा वापर करणारा],d4.csv
D1,139.64,175.0,57.14,175.0,8,के.वाय.सी मोबाईलातसून करुक गावता काय ?,केवायसी मोबाईलमधून काय मिळते?,[INS: के वाय सी मोबाईलातसून] [करुक गावता → केवायसी मोबाईलमधून] [DEL: मिळते],d1.csv
D2,139.5,150.0,115.0,150.0,21,मासा पकडा ना येवसाय दिवस मा भी चाली रायना,"मासा पकडा, दिवस चालले.",[INS: ना येवसाय] [INS: मा भी चाली] [रायना → चालले],d2.csv
D2,139.29,150.0,114.29,150.0,13,जगमा तशे भारतमा काफीना ब्रांड शेतस,जगात खूप ब्रँड्स आहेत,[INS: जगमा तशे] [भारतमा काफीना ब्रांड शेतस → जगात खूप ब्रँड्स आहेत],d2.csv
D2,139.0,120.0,183.33,120.0,41,ट्रायोडोस बैंक दुन्यामझारल्या नावाजेल नैतिक बँकासमझारली एक बँक शे,ट्रायोडोस बँक एक बँक आहे.,[INS: बैंक दुन्यामझारल्या नावाजेल नैतिक] [बँकासमझारली → बँक] [शे → आहे],d2.csv
D2,138.49,166.67,72.73,166.67,6,आय.सी.आय.सी.आय ब्यांक येस ब्यांकले वाचाडासाठे उनथी,आयसीआयसीआय बँकचे वाचाडासाठे आणि माहिती कोणती?,[INS: आय सी आय सी] [आय ब्यांक येस ब्यांकले वाचाडासाठे उनथी → आयसीआयसीआय बँकचे वाचाडासाठे आणि माहिती कोणती],d2.csv
D4,138.33,133.33,150.0,133.33,18,ब्लू वॉटर लिली हे निळे फूल आहे,निळे फूल आहे,[INS: ब्लू वॉटर लिली हे],d4.csv
D2,137.93,150.0,109.76,150.0,15,नया जगमा उष्णकाटिबंधीय प्रदेशमा द्राक्षसनी वेल एक जात शे,द्राक्षा वृक्षाच्या एका जातीचा प्रकार आहे.,[INS: नया जगमा उष्णकाटिबंधीय] [प्रदेशमा द्राक्षसनी वेल एक जात शे → द्राक्षा वृक्षाच्या एका जातीचा प्रकार आहे],d2.csv
D2,137.14,160.0,83.78,160.0,19,क्रेडिट कार्डना वापरानं प्रमाण कित्ल शे यावरतीन कटॉप ठरस,क्रेडिट कार्डच्या वापरामुळे किती ठरते?,[INS: कार्डना वापरानं प्रमाण कित्ल] [शे यावरतीन कटॉप ठरस → कार्डच्या वापरामुळे किती ठरते],d2.csv
D2,136.82,150.0,106.06,150.0,13,सोदाबजारमा गनच सौदास्नी देवाणघेवाण करारमा व्हस,व्यावसायिक व्यवहारांचे करार होतात.,[INS: सोदाबजारमा गनच] [सौदास्नी देवाणघेवाण करारमा व्हस → व्यावसायिक व्यवहारांचे करार होतात],d2.csv
D1,136.74,157.14,89.13,157.14,21,बातमी समाजली हा कि टाटानी शेयर विकत घेवन मार्केटचो माहोल बदलल्यांनी,बातमीमुळे समाजाचा आणि बाजाराचा माहोल बदलला आहे?,[INS: बातमी समाजली हा कि टाटानी] [शेयर विकत घेवन मार्केटचो → बातमीमुळे समाजाचा आणि बाजाराचा] [बदलल्यांनी → बदलला] [DEL: आहे],d1.csv
D2,136.58,150.0,105.26,150.0,16,खाली EMI कितला महिना आहार मासा शेतस?,EMI किती महिने असते?,[INS: खाली] [INS: कितला महिना] [आहार मासा शेतस → किती महिने असते],d2_aug.csv
D4,136.17,160.0,80.56,160.0,26,संत्र्याच्या बगीच्यामंदी आंतर पीक घ्याव का घेतलं च कोनचं घ्याव ?,संत्र्याच्या बागेत आंतरपीक घ्यावे का?,[INS: बगीच्यामंदी] [आंतर पीक घ्याव → बागेत आंतरपीक घ्यावे] [INS: घेतलं च कोनचं घ्याव],d4.csv
D4,135.0,150.0,100.0,150.0,18,भुइमुगा साठी कोनचं तंत्र वापराले पायजे यावे ?,कोणते तंत्र वापरावे लागेल?,[INS: भुइमुगा साठी] [कोनचं → कोणते] [INS: वापराले] [पायजे यावे → वापरावे लागेल],d4.csv
D2,134.23,150.0,97.44,150.0,12,यु.पी आयमुये कोणतंबी पैसास्नं देनं टाईमवर देवाई जास,उत्तर प्रदेशाला कोणती रक्कम वेळेवर दिली?,[INS: यु पी आयमुये] [कोणतंबी पैसास्नं देनं टाईमवर देवाई जास → उत्तर प्रदेशाला कोणती रक्कम वेळेवर दिली],d2.csv
D4,134.0,150.0,96.67,150.0,14,पराटीवरच्या माव्यासाठी कोनचे इलाज कराच पायजे ?,पाठदुखीसाठी कोणते उपचार करावेत?,[INS: पराटीवरच्या माव्यासाठी] [कोनचे इलाज कराच पायजे → पाठदुखीसाठी कोणते उपचार करावेत],d4.csv
D2,133.75,150.0,95.83,150.0,17,"या वेळी बँकेत प्रीपेड कार्ड शेतस, कठे मिळन?",कुठे प्रीपेड कार्ड मिळेल?,[INS: या वेळी] [बँकेत → कुठे] [INS: शेतस कठे] [मिळन → मिळेल],d2_aug.csv
D2,133.6,160.0,72.0,160.0,11,भारतमा गहू न आन तादुळ न मुख्य पिक से,भारतात गहूच मुख्य पीक आहे.,[INS: भारतमा गहू न आन] [तादुळ न → भारतात गहूच] [पिक से → पीक आहे],d2.csv
D2,133.56,140.0,118.52,140.0,19,शेतस कितलं पिकाले जास्त पाणी शेतस विहीरमा शेतस?,शेतला विहिरीत किती पाणी आहे?,[INS: शेतस] [कितलं पिकाले जास्त → शेतला विहिरीत किती] [INS: शेतस विहीरमा] [शेतस → आहे],d2_aug.csv
D1,133.33,166.67,55.56,166.67,4,के.वाय.सी किदयाक करूची ?,केवायसी कसे करायचे?,[INS: के वाय] [सी किदयाक करूची → केवायसी कसे करायचे],d1.csv
D4,133.33,133.33,133.33,133.33,20,तुरीवरच्या अळीसाठी कोनतं कीटकनाशक हाये ?,कोणते कीटकनाशक आहे?,[INS: तुरीवरच्या अळीसाठी] [कोनतं → कोणते] [हाये → आहे],d4.csv
D1,132.27,150.0,90.91,150.0,8,हे बिये लाऊन फायदो कितको जातलो ?,यामुळे किती फायदा झाला?,[INS: हे बिये] [लाऊन फायदो कितको जातलो → यामुळे किती फायदा झाला],d1.csv
D1,131.76,157.14,72.55,157.14,25,"कोईमतूर मेंढी ची जात ही कोईमतूर जिल्ह्यातच गावता , ही जात लोकरीसाठी पाळली जाता",कोयमतूर जिल्ह्यातील मेंढीची जात कोरीसाठी पाळली जाते,[कोईमतूर मेंढी ची → कोयमतूर जिल्ह्यातील मेंढीची] [INS: ही कोईमतूर जिल्ह्यातच गावता ही जात] [लोकरीसाठी → कोरीसाठी] [जाता → जाते],d1.csv
D2,131.25,150.0,87.5,150.0,32,सगळ्या यू.पी.आय एप्स मध्ये दिवसाला किती देणी एतील याची मर्यादा बघता येन शक्य आहे,सर्व यूपीआय शुल्कांची मर्यादा बघता येणे शक्य आहे.,[INS: सगळ्या यू पी आय एप्स मध्ये दिवसाला किती] [देणी एतील याची → सर्व यूपीआय शुल्कांची] [येन → येणे],d2.csv
D1,130.5,150.0,85.0,150.0,17,सब्सिडी कर्ज ता कर्ज असा जेच्यावर सब्सिडीन व्याज कमी करतत,सबसिडीमुळे कर्जावरील व्याज कमी केले जाते?,[INS: सब्सिडी कर्ज ता कर्ज असा] [जेच्यावर सब्सिडीन → सबसिडीमुळे कर्जावरील] [करतत → केले] [DEL: जाते],d1.csv
D2,130.0,150.0,83.33,150.0,6,एक महिना ना काय मा देवाण घेवाण करेल क्रेडिट कार्ड न स्टेटमेंट दिशी,एक महिन्यात क्रेडिट कार्डच्या स्टेटमेंटबद्दल काय करावे लागेल?,[INS: महिना ना काय मा देवाण घेवाण] [करेल → महिन्यात] [कार्ड न स्टेटमेंट दिशी → कार्डच्या स्टेटमेंटबद्दल काय करावे] [DEL: लागेल],d2.csv
D1,129.56,175.0,23.53,175.0,0,के.वाय.सी साठी कसली कागदपत्र लागतत ?,केवायसीसाठी कोणती कागदपत्रे लागतात?,[INS: के वाय सी] [साठी कसली कागदपत्र लागतत → केवायसीसाठी कोणती कागदपत्रे लागतात],d1.csv
D1,128.91,133.33,118.6,133.33,36,भाज्यांच्या शेतीयेक हॉर्टिकल्चर बोलतत तेच्यात वेगवेगळ्या पद्धतीच्यो भाज्यो घेतत,हॉर्टिकल्चर विविध पद्धतींनी भाज्या घेत आहेत.,[INS: भाज्यांच्या शेतीयेक] [INS: बोलतत] [तेच्यात वेगवेगळ्या पद्धतीच्यो भाज्यो घेतत → विविध पद्धतींनी भाज्या घेत आहेत],d1.csv
D2,128.72,142.86,95.74,142.86,43,"जमिनीची सुपिकता वाढवण्यासाठी लेंडी खत , कोंबडी खत , गांडूळ खत , राखेचे खत यापैकी कोणते योग्य आहे ?",जमिनीची सुपीकता वाढवण्यासाठी कोणते खत योग्य आहे?,[सुपिकता → सुपीकता] [लेंडी → कोणते] [INS: कोंबडी खत गांडूळ खत राखेचे खत यापैकी कोणते],d2.csv
D4,128.57,157.14,61.9,157.14,8,आर.टी.जी.एस करतांनी आय.एफ.एस.सी कोड जरुरीचा हाय का ?,आरटीजीएस केल्यावर आईएससी कोड आवश्यक आहे का?,[INS: आर टी जी एस करतांनी आय] [एफ एस सी → आरटीजीएस केल्यावर आईएससी] [जरुरीचा हाय → आवश्यक आहे],d4.csv
D2,128.2,142.86,94.0,142.86,17,पिकसनी कापनी व्हवावर धान्य निंघस तोपावत शेतकरीले गनज कामे करना पडतस,शेतकऱ्यांनी धान्य पिकवताना कापणी करून तोपावे लागते,[INS: पिकसनी कापनी] [व्हवावर → शेतकऱ्यांनी] [INS: निंघस तोपावत] [शेतकरीले गनज कामे करना पडतस → पिकवताना कापणी करून तोपावे लागते],d2.csv
D2,128.0,140.0,100.0,140.0,25,कच्चा केयीसना वापर भाजी आणि लोणचं बनाडाना करता करतंस,कच्ची भाजी आणि लोणचे बनवतात,[INS: कच्चा केयीसना] [वापर → कच्ची] [INS: लोणचं बनाडाना] [करता करतंस → लोणचे बनवतात],d2.csv
D2,128.0,140.0,100.0,140.0,11,"मनाले बँकमा म्हणजे शेतस, कठे जाई लागन?","मला बँकेत जावे लागेल, कुठे?",[INS: मनाले बँकमा] [म्हणजे शेतस कठे जाई लागन → मला बँकेत जावे लागेल कुठे],d2_aug.csv
D2,127.71,137.5,104.88,137.5,33,आख्खा जगमा दर वरीसले एकशे तेरेचायीस मिलियन टन आन्न समुद्र मायीन उपेगमा येस,एक शे तीस मिलियन टन अन्न समुद्रामध्ये आहे.,[INS: आख्खा जगमा दर] [वरीसले एकशे तेरेचायीस → एक शे तीस] [INS: आन्न समुद्र] [मायीन उपेगमा येस → अन्न समुद्रामध्ये आहे],d2.csv
D2,127.5,150.0,75.0,150.0,9,दोन दिन मा तूनं खातं उघडी जाई,दोन दिवसांत ते उघडेल.,[INS: दिन मा तूनं] [खातं उघडी जाई → दिवसांत ते उघडेल],d2.csv
D4,127.5,150.0,75.0,150.0,8,बचत खात खोलासाठी कोंते कागद लागन ?,खात्यासाठी कागद लागते का?,[INS: बचत खात खोलासाठी] [कोंते → खात्यासाठी] [लागन → लागते] [DEL: का],d4.csv
D1,126.93,140.0,96.43,140.0,22,आतून लाल रंगाचो दिसनारो पेरू रुचकर असता असा म्हणतत,तिथी पेरू रुचकर असतो म्हणतात,[INS: आतून लाल रंगाचो] [दिसनारो → तिथी] [INS: असता] [असा म्हणतत → असतो म्हणतात],d1.csv
D2,126.74,142.86,89.13,142.86,19,एस बँक नी देवान घेवानना इतिहास देखानी ऑनलाईन प्रणाली बराबर नही शे,एस बँकेच्या ऑनलाइन प्रणालीचा इतिहास बरोबर नाही.,[INS: बँक] [नी देवान घेवानना → बँकेच्या ऑनलाइन प्रणालीचा] [INS: देखानी ऑनलाईन प्रणाली बराबर] [नही शे → बरोबर नाही],d2.csv
D2,125.71,150.0,69.05,150.0,16,आफशोअर ब्यांका कमी कर नैते कोणताच कारपोरेशन कर आकारतंस नयी,आफशोअर बँकेचे कोणतेही कॉर्पोरेशन आकार नाही.,[INS: ब्यांका कमी कर नैते] [कोणताच कारपोरेशन कर आकारतंस नयी → बँकेचे कोणतेही कॉर्पोरेशन आकार नाही],d2.csv
D1,125.7,133.33,107.89,133.33,32,म्या कर्जा मेळाक अर्ज करुच्या साठी पात्र आसा की नसा ह्या माका कसा कळतल ?,मला कर्जा मिळत आहे की नाही हे कसे कळेल?,[म्या → मला] [INS: मेळाक अर्ज करुच्या साठी] [पात्र आसा → मिळत आहे] [INS: नसा] [ह्या माका कसा कळतल → नाही हे कसे कळेल],d1.csv
D2,125.57,140.0,91.89,140.0,7,फयेसनं उत्पादन हाउ जलदगतीकन वाढणारा यवसाय शे,उत्पादनामुळे व्यवसायाची गती कशी वाढते ?,[INS: फयेसनं उत्पादन] [हाउ जलदगतीकन वाढणारा यवसाय शे → उत्पादनामुळे व्यवसायाची गती कशी वाढते],d2.csv
D1,125.15,133.33,106.06,133.33,29,माझा पहिला जोडखाता आसा त्याका वैयक्तिक करूचा असा ता मी कसा करू ?,माझा पहिला संबंध कसा वैयक्तिक करू?,[INS: जोडखाता] [आसा त्याका → संबंध कसा] [INS: करूचा असा ता मी कसा],d1.csv
D4,125.1,133.33,105.88,133.33,25,खातं चालू ठेवासाठी माया खात्यात कितीक रुपये असनं जरुरीच हाय ?,खात्यात किती रुपये असणे आवश्यक आहे?,[INS: खातं चालू ठेवासाठी माया] [कितीक → किती] [असनं जरुरीच हाय → असणे आवश्यक आहे],d4.csv
D2,125.05,137.5,96.0,137.5,13,मनी आंडेरले पैसा बचतनी सवय लावावी करता मी माटीना गल्ला लेयेल शे,मी माझ्या गल्ल्यात पैसे वाचवण्याची सवय लावावी करतो.,[मनी आंडेरले पैसा बचतनी → मी माझ्या गल्ल्यात पैसे] [DEL: वाचवण्याची] [INS: करता मी माटीना गल्ला लेयेल] [शे → करतो],d2.csv
D1,125.0,166.67,27.78,166.67,2,के.वाय.सी कशी करायची ?,केवायसी कसे करायचे?,[INS: के वाय] [सी कशी करायची → केवायसी कसे करायचे],d1.csv
D2,125.0,140.0,90.0,140.0,18,बँक म्हाईन कर्ज तुमी जास्त येळ साठे लेवाले जोयजे,बँकचे कर्ज तुम्ही जास्त घ्यावे?,[INS: बँक] [म्हाईन → बँकचे] [तुमी → तुम्ही] [INS: येळ साठे लेवाले] [जोयजे → घ्यावे],d2.csv
D2,124.62,150.0,65.38,150.0,9,पाऊसना वावर साठे चांगलं फायदानं ठरस,पावसाने चांगले फायदे ठरतील,[INS: पाऊसना वावर] [साठे चांगलं फायदानं ठरस → पावसाने चांगले फायदे ठरतील],d2.csv
D2,123.86,140.0,86.21,140.0,15,राजूनी भांगन बिवारं चांगलं धोयीन सुखाडी टाकं,राजूचे भांडे चांगले धुऊन ठेवा,[INS: राजूनी भांगन] [बिवारं चांगलं धोयीन सुखाडी टाकं → राजूचे भांडे चांगले धुऊन ठेवा],d2.csv
D2,123.83,140.0,86.11,140.0,8,रितुले परीक्षामा फंडना परकार ना बारामा इचारं,मला परीक्षांसाठी निधीची आवश्यकता आहे?,[INS: रितुले परीक्षामा] [फंडना परकार ना बारामा इचारं → मला परीक्षांसाठी निधीची आवश्यकता आहे],d2.csv
D2,123.37,150.0,61.22,150.0,14,इंटरनेटना लेवा देवा मुडे बॅक ना सर्वरमा जास्त ट्रॅफिक व्हयी जास,इंटरनेटमुळे सर्व्हरवर जास्त ट्रॅफिक व्हायचे जास्त?,[INS: इंटरनेटना लेवा देवा मुडे बॅक] [ना सर्वरमा → इंटरनेटमुळे सर्व्हरवर] [व्हयी जास → व्हायचे जास्त],d2.csv
D1,123.33,133.33,100.0,133.33,16,तुम्ही स्कूलल्या वरसून खय जातात का?,तुम्ही कुठून जातात?,[INS: स्कूलल्या वरसून] [खय → कुठून] [INS: का],d1_aug.csv
D2,122.83,140.0,82.76,140.0,11,राजूनी पिक कापीन भंडार घरेस्मा ठी दिन्हं,राजूच्या पिकाचा माल घरात दिला.,[INS: राजूनी पिक] [कापीन भंडार घरेस्मा ठी दिन्हं → राजूच्या पिकाचा माल घरात दिला],d2.csv
D2,122.6,133.33,97.56,133.33,9,आते आते भारतनी शेतीमा नवीन तंत्रज्ञान येवाले लागनं,नवीन तंत्रज्ञान शेतीमध्ये येणे आवश्यक आहे.,[INS: आते आते भारतनी शेतीमा] [येवाले लागनं → शेतीमध्ये येणे] [DEL: आवश्यक आहे],d2.csv
D2,122.5,142.86,75.0,142.86,9,"फनस हायी कोकनमा पिकस , त्याना गर कॅन्सर वर गुनकारी शेतस","फिन्स कोकणात आहेत, त्यांना कर्करोगावर लाभ आहे.",[INS: फनस हायी कोकनमा] [पिकस त्याना गर कॅन्सर वर गुनकारी शेतस → फिन्स कोकणात आहेत त्यांना कर्करोगावर लाभ आहे],d2.csv
D2,122.42,140.0,81.4,140.0,7,पीकनी नुक्शानी व्हवावर महेंद्रनं वारशिक ऊत्पन घटणं,पीकणाच्या स्थितीनुसार हवामानावर तापमान घटते.,[INS: पीकनी नुक्शानी] [व्हवावर महेंद्रनं वारशिक ऊत्पन घटणं → पीकणाच्या स्थितीनुसार हवामानावर तापमान घटते],d2.csv
D2,122.05,150.0,56.82,150.0,14,ई सी.एस हाऊ यवहारमझार पेमेंट पावतीना इलेक्ट्रानिक परकार शे,आयसीएस हाउ पेमेंट पावतीचे इलेक्ट्रॉनिक तपशील,[INS: ई सी एस] [हाऊ यवहारमझार → आयसीएस हाउ] [INS: पावतीना] [इलेक्ट्रानिक परकार शे → पावतीचे इलेक्ट्रॉनिक तपशील],d2.csv
D2,121.44,140.0,78.12,140.0,14,"करस फळे शेतस तिकडे घालण्या साठी, जागा भेटने खास","फळे शेतकळीत घालावयाची, जागा मिळेल.",[INS: करस] [INS: शेतस तिकडे] [घालण्या साठी → शेतकळीत घालावयाची] [INS: भेटने] [खास → मिळेल],d2_aug.csv
