dialect,divergence_score,wer_percentage,cer_percentage,lexical_diff_ratio,char_edit_distance,dialect_text,standard_text,word_diffs,source_file
D4,141.75,150.0,122.5,150.0,26,सबसॉयलर किंवा फ्लॅट लिफ्टर हे ट्रॅक्टर माउंट केलेले शेती उपकरण आहे,शेतीसाठी उपकरणांचा वापर करणारा उपकरण आहे,[INS: सबसॉयलर किंवा फ्लॅट लिफ्टर हे] [ट्रॅक्टर माउंट केलेले शेती → शेतीसाठी उपकरणांचा वापर करणारा],d4.csv
D4,138.33,133.33,150.0,133.33,18,ब्लू वॉटर लिली हे निळे फूल आहे,निळे फूल आहे,[INS: ब्लू वॉटर लिली हे],d4.csv
D4,136.17,160.0,80.56,160.0,26,संत्र्याच्या बगीच्यामंदी आंतर पीक घ्याव का घेतलं च कोनचं घ्याव ?,संत्र्याच्या बागेत आंतरपीक घ्यावे का?,[INS: बगीच्यामंदी] [आंतर पीक घ्याव → बागेत आंतरपीक घ्यावे] [INS: घेतलं च कोनचं घ्याव],d4.csv
D4,135.0,150.0,100.0,150.0,18,भुइमुगा साठी कोनचं तंत्र वापराले पायजे यावे ?,कोणते तंत्र वापरावे लागेल?,[INS: भुइमुगा साठी] [कोनचं → कोणते] [INS: वापराले] [पायजे यावे → वापरावे लागेल],d4.csv
D4,134.0,150.0,96.67,150.0,14,पराटीवरच्या माव्यासाठी कोनचे इलाज कराच पायजे ?,पाठदुखीसाठी कोणते उपचार करावेत?,[INS: पराटीवरच्या माव्यासाठी] [कोनचे इलाज कराच पायजे → पाठदुखीसाठी कोणते उपचार करावेत],d4.csv
D4,133.33,133.33,133.33,133.33,20,तुरीवरच्या अळीसाठी कोनतं कीटकनाशक हाये ?,कोणते कीटकनाशक आहे?,[INS: तुरीवरच्या अळीसाठी] [कोनतं → कोणते] [हाये → आहे],d4.csv
D4,128.57,157.14,61.9,157.14,8,आर.टी.जी.एस करतांनी आय.एफ.एस.सी कोड जरुरीचा हाय का ?,आरटीजीएस केल्यावर आईएससी कोड आवश्यक आहे का?,[INS: आर टी जी एस करतांनी आय] [एफ एस सी → आरटीजीएस केल्यावर आईएससी] [जरुरीचा हाय → आवश्यक आहे],d4.csv
D4,127.5,150.0,75.0,150.0,8,बचत खात खोलासाठी कोंते कागद लागन ?,खात्यासाठी कागद लागते का?,[INS: बचत खात खोलासाठी] [कोंते → खात्यासाठी] [लागन → लागते] [DEL: का],d4.csv
D4,125.1,133.33,105.88,133.33,25,खातं चालू ठेवासाठी माया खात्यात कितीक रुपये असनं जरुरीच हाय ?,खात्यात किती रुपये असणे आवश्यक आहे?,[INS: खातं चालू ठेवासाठी माया] [कितीक → किती] [असनं जरुरीच हाय → असणे आवश्यक आहे],d4.csv
D4,119.71,150.0,49.02,150.0,3,आर.टी.जी.एस करतांनी आय.एफ.एस.सी कोड असन जरुरी रायते का ?,आरटीजीएस केल्यामुळे आयएफएससी कोड असणे गरजेचे आहे का?,[INS: आर टी जी एस करतांनी आय] [एफ एस सी → आरटीजीएस केल्यामुळे आयएफएससी] [असन जरुरी रायते → असणे गरजेचे आहे],d4.csv
D4,118.21,133.33,82.93,133.33,19,यू.पी.आय नॅशनल पेमेंट कॉर्पोरेशन ऑफ इंडियाने विकसित केले आहे,युनायटेड प्रादेशिक आयोगने विकसित केले आहे,[INS: यू पी आय नॅशनल पेमेंट] [कॉर्पोरेशन ऑफ इंडियाने → युनायटेड प्रादेशिक आयोगने],d4.csv
D4,114.72,142.86,49.06,142.86,11,शैवाल की वृद्धि को नियंत्रित करने के लिए अल्बिकाइड बनाया जाता है,शैवालची वाढ नियंत्रित करण्यासाठी अल्बिकाइड बनवले जाते.,[INS: शैवाल की] [वृद्धि को → शैवालची वाढ] [INS: करने के] [लिए → करण्यासाठी] [INS: बनाया] [जाता है → बनवले जाते],d4.csv
D4,113.48,140.0,51.61,140.0,4,घाटे अळी साठी कोनची दवाई वापरा लागन ?,अळीसाठी कोणती औषध वापरावे लागेल?,[INS: घाटे अळी] [साठी कोनची दवाई वापरा लागन → अळीसाठी कोणती औषध वापरावे लागेल],d4.csv
D4,112.5,125.0,83.33,125.0,13,कोनच्या कोनच्या परकारं खात उघडता येते ?,कोणत्या गरजा उघडता येतात?,[INS: कोनच्या कोनच्या] [परकारं खात → कोणत्या गरजा] [येते → येतात],d4.csv
D4,112.48,116.67,102.7,116.67,18,स्पायडर सिल्क हा प्रोटीन फायबर आहे जो कोळी द्वारे काततो,कोळी द्वारे कातलेला प्रोटीन फायबर आहे,[स्पायडर सिल्क हा → कोळी द्वारे कातलेला] [INS: जो कोळी द्वारे काततो],d4.csv
D4,111.25,125.0,79.17,125.0,9,किड्याइवर कोनची फवारनी कराच पायजे ?,कोठेची फवारणी करायची आहे?,[INS: किड्याइवर] [कोनची फवारनी कराच पायजे → कोठेची फवारणी करायची आहे],d4.csv
D4,110.0,120.0,86.67,120.0,6,कर्ज कवापर्यंत वापिस करन जरुरी रायते ?,कशापर्यंत कर्ज वापरायचे आहे का?,[INS: कर्ज] [कवापर्यंत वापिस करन जरुरी रायते → कशापर्यंत कर्ज वापरायचे आहे का],d4.csv
D4,108.82,100.0,129.41,100.0,15,पऱ्हाटीची कोनची जात चांगली रायते ?,जात चांगली आहे का?,[INS: पऱ्हाटीची कोनची] [रायते → आहे] [DEL: का],d4.csv
D4,108.55,120.0,81.82,120.0,17,मले हर मईन्याले कर्ज वापिस करता येईन का ?,हे कर्ज वापरता येईल का?,[INS: मले हर] [मईन्याले → हे] [INS: वापिस] [करता येईन → वापरता येईल],d4.csv
D4,108.38,120.0,81.25,120.0,20,दामीनी ॲप वर खरोखर विजाइच्या कडकडाटाची सूचना मिळन का ?,विजयाची कडकडाटाची सूचना मिळते का?,[INS: दामीनी ॲप वर खरोखर] [विजाइच्या → विजयाची] [मिळन → मिळते],d4.csv
D4,107.82,120.0,79.41,120.0,5,यू.पी.आय म्हणजे युनिफाइड पेमेंट इंटरफेस,युनिफाइड पेमेंट इंटरफेस म्हणजे काय?,[INS: यू पी आय म्हणजे] [DEL: म्हणजे काय],d4.csv
D4,107.44,120.0,78.12,120.0,2,थ्या मातीत कोनचं बियानं वापरा लागन ?,कोणते बियाणे मातीत वापरावे लागते?,[INS: थ्या] [मातीत कोनचं बियानं वापरा लागन → कोणते बियाणे मातीत वापरावे लागते],d4.csv
D4,105.16,114.29,83.87,114.29,16,क्यू.आर कोड न मले माये जेवाचे पैसे देता येईन का ?,कोड नसल्यास मी पैसे देऊ शकेन का?,[INS: क्यू आर] [INS: न मले] [माये जेवाचे → नसल्यास मी] [देता येईन → देऊ शकेन],d4.csv
D4,103.62,116.67,73.17,116.67,5,गुरांइले खुरी बिमारीसाठी कोनची लस द्याले पायजे ?,"गुरुजी, या आजारामुळे कोणत्या लसी द्याव्यात?",[INS: गुरांइले] [खुरी बिमारीसाठी कोनची लस द्याले पायजे → गुरुजी या आजारामुळे कोणत्या लसी द्याव्यात],d4.csv
D4,102.0,114.29,73.33,114.29,27,हेज फंड विकिपीडिया पासून मुक्त विश्वकोश हेज फंड हा पूल गुंतवणूक निधी आहे,हेज फंड हा विकिपीडियापासून मुक्त विश्वकोश आहे.,[विकिपीडिया पासून → हा विकिपीडियापासून] [INS: हेज फंड हा पूल गुंतवणूक निधी],d4.csv
D4,101.52,122.22,53.23,122.22,5,मले व्यक्तिगत ऋणा ते स्वीकार करावा लागन त्यासाठी मला कुठी जावे लागन?,मला व्यक्तिगत ऋण स्वीकारण्यासाठी माझी जागेची माहिती कुठे मिळेल?,[मले → मला] [INS: ऋणा ते स्वीकार] [करावा लागन त्यासाठी मला कुठी जावे लागन → ऋण स्वीकारण्यासाठी माझी जागेची माहिती कुठे मिळेल],d4_aug.csv
D4,101.22,114.29,70.73,114.29,16,"मले जागेचे नोंदणी करायची हाय, कायले काय पुरावे द्यायचे हाय?",मला जागेचे नोंदणी करावी लागते आणि कशामुळे?,[मले → मला] [INS: करायची हाय कायले] [काय पुरावे द्यायचे हाय → करावी लागते आणि कशामुळे],d4_aug.csv
D4,100.55,120.0,55.17,120.0,6,बिम्याचे कुंते फायदे हाय मले कस कळन ?,बिमण्याचे फायदे मला कसे कळतील?,[INS: बिम्याचे] [कुंते → बिमण्याचे] [INS: हाय] [मले कस कळन → मला कसे कळतील],d4.csv
D4,100.0,100.0,100.0,100.0,24,मधमाश्या पाळणारा म्हणजे मधमाश्या पाळणारी व्यक्ती,मधमाश्या पाळणारी व्यक्ती,[INS: पाळणारा म्हणजे मधमाश्या],d4.csv
D4,99.17,116.67,58.33,116.67,6,मायी कर्ज वापिस कराची आखरी तारीख कोनची हाय ?,मायीची कर्जाची अंतिम तारीख कोणती आहे?,[INS: मायी कर्ज] [वापिस कराची आखरी → मायीची कर्जाची अंतिम] [कोनची हाय → कोणती आहे],d4.csv
D4,99.11,116.67,58.14,116.67,9,यू.पी.आय चा कसा अन कुटी वापर कराचा ?,युनिटी पेमेंट आइडेंटिफायरचा कसा वापर करायचा?,[INS: यू] [पी आय चा → युनिटी पेमेंट आइडेंटिफायरचा] [INS: अन कुटी] [कराचा → करायचा],d4.csv
D4,98.89,100.0,96.3,100.0,12,मातीमंदी शेणखत कोनच्या मइन्यामंधी टाकाव ?,शेणखत मातीमध्ये कोठे टाकावे?,[INS: मातीमंदी] [कोनच्या मइन्यामंधी टाकाव → मातीमध्ये कोठे टाकावे],d4.csv
D4,98.57,100.0,95.24,100.0,8,अस्वल अळीले चांगली दवाई कोनची ?,कोणती दवाई चांगली आहे?,[अस्वल अळीले → कोणती दवाई] [INS: दवाई] [कोनची → आहे],d4.csv
D4,98.35,120.0,47.83,120.0,9,मले माया केबलचं बिल कस देता येईन ?,मला केबलचे बिल कसे देईन ?,[INS: मले] [माया केबलचं → मला केबलचे] [INS: कस] [देता येईन → कसे देईन],d4.csv
D4,98.0,100.0,93.33,100.0,1,सोला कायनं पेराव ?,काय भरावे लागेल?,[सोला कायनं पेराव → काय भरावे लागेल],d4.csv
D4,97.75,120.0,45.83,120.0,5,वित्तीय विश्लेषक की मुख्य भूमिका अवसरों की पहचान के लिए डेटा पर ध्यान देना है,वित्तीय विश्लेषकाची मुख्य भूमिका संधी ओळखण्यासाठी डेटामधून लक्ष देणे आहे,[INS: विश्लेषक] [की → विश्लेषकाची] [INS: अवसरों की पहचान के] [लिए डेटा पर ध्यान देना है → संधी ओळखण्यासाठी डेटामधून लक्ष देणे आहे],d4.csv
D4,97.39,100.0,91.3,100.0,19,पीक रोटेशन पद्धतीत पराटीनंतर कोनचे पीक घेऊ ?,पराटीनंतर कोणते पीक घेऊ ?,[INS: पीक रोटेशन पद्धतीत] [कोनचे → कोणते],d4.csv
D4,97.37,111.11,65.31,111.11,13,नेट बँकिंगनं मले माह्या खाल्ल पैसा कितीक उरला थे पायता यीन काय ?,नेट बँकिंगमुळे मला किती पैसे शिल्लक राहिले ते काय?,[INS: बँकिंगनं मले माह्या] [खाल्ल पैसा कितीक उरला थे पायता यीन → बँकिंगमुळे मला किती पैसे शिल्लक राहिले ते],d4.csv
D4,97.14,114.29,57.14,114.29,4,बिमा काढाचे कितीक परकारचे फायदे हाय मले कस कळन ?,बिम्याच्या किती आवश्यक फायदे मला कसे कळतात?,[INS: बिमा] [काढाचे कितीक परकारचे → बिम्याच्या किती आवश्यक] [INS: हाय] [मले कस कळन → मला कसे कळतात],d4.csv
D4,97.14,100.0,90.48,100.0,14,पऱ्हाटीले खताचा कोनचा डोस कवा द्याव ?,खताचा किती डोस द्यावा?,[INS: पऱ्हाटीले] [कोनचा → किती] [INS: कवा] [द्याव → द्यावा],d4.csv
D4,96.89,112.5,60.47,112.5,6,यू.पी.आय न मले विजेचं बिल भरता यीन का ?,मला यूपीआय नसल्यामुळे मी विजेचे बिल का भरतो?,[INS: यू] [पी आय न मले विजेचं → मला यूपीआय नसल्यामुळे मी विजेचे] [INS: भरता यीन] [DEL: भरतो],d4.csv
D4,96.67,116.67,50.0,116.67,6,बिम्याचा दावा करा साठी मले का करा लागन ?,या दाव्यासाठी मला का करावे लागते?,[INS: बिम्याचा दावा] [करा साठी मले → या दाव्यासाठी मला] [करा लागन → करावे लागते],d4.csv
D4,95.99,116.67,47.73,116.67,9,कोराजेन औषध विस लिटर पंपामंदी किती मिलीमिटर घ्या लागन ?,कोराजेन औषधासाठी किती मिलीमीटर घ्यावे लागतील?,[INS: औषध विस लिटर] [पंपामंदी → औषधासाठी] [मिलीमिटर घ्या लागन → मिलीमीटर घ्यावे लागतील],d4.csv
D4,95.96,100.0,86.54,100.0,26,"माझ्या भावाले नोकरी मध्ये फेरफार होतो हाय, दुसऱ्या तीर्थक्षेत्रा मध्ये येतो हाय.","माझे भाऊची नोकरी बदलली आहे, तो दुसऱ्या ठिकाणी येत आहे.",[माझ्या भावाले → माझे भाऊची] [INS: मध्ये] [फेरफार होतो हाय → बदलली आहे तो] [INS: तीर्थक्षेत्रा] [मध्ये येतो हाय → ठिकाणी येत आहे],d4_aug.csv
D4,95.82,120.0,39.39,120.0,6,के.वाय.सी साठी माह्य आधार कार्ड चालन का ?,केवायसीसाठी आधार कार्ड चालविणे का?,[INS: के वाय सी साठी] [माह्य → केवायसीसाठी] [चालन → चालविणे],d4.csv
D4,95.56,100.0,85.19,100.0,3,कराच मायती मले बँकेतून भेटन का ?,मला बँकेतून माहिती मिळेल का?,[INS: कराच मायती] [मले → मला] [भेटन → माहिती] [DEL: मिळेल],d4.csv
D4,95.07,112.5,54.39,112.5,2,मले जनवरी अस फरवरी मइन्याची माया खात्याची मायती भेटन का ?,मला जानेवारी आणि फेब्रुवारीच्या खात्याची माहिती का मिळाली?,[INS: मले जनवरी] [अस फरवरी मइन्याची माया → मला जानेवारी आणि फेब्रुवारीच्या] [INS: मायती] [भेटन → माहिती] [DEL: मिळाली],d4.csv
D4,95.0,114.29,50.0,114.29,10,"कर्ज कस कस वापिस करता येईन , हे मले कस समजनं ?","कर्ज कसे वापरेन, हे मला कसे समजणे?",[INS: कस कस वापिस] [करता येईन → कसे वापरेन] [मले कस समजनं → मला कसे समजणे],d4.csv
D4,95.0,100.0,83.33,100.0,10,क्रेडिट कार्ड म्हाजी कुठी पोरगा म्हाले जातो आहे सांगा लागन?,माझ्याकडे क्रेडिट कार्ड कुठे जातो हे मला कळेल का?,[DEL: माझ्याकडे] [INS: म्हाजी कुठी पोरगा] [म्हाले → कुठे] [आहे सांगा लागन → हे मला कळेल] [DEL: का],d4_aug.csv
D4,95.0,100.0,83.33,100.0,20,मला UPI पेमेंट करायचे असन तर विचार करवतत कशा प्रकारे पेमेंट करू शकता?,मला UPI पेमेंट करण्याची गरज असेल तर ते कसे करावे?,[INS: करायचे असन तर] [विचार करवतत कशा प्रकारे पेमेंट करू शकता → करण्याची गरज असेल तर ते कसे करावे],d4_aug.csv
D4,94.76,100.0,82.54,100.0,3,"हाय, मले काय काय कागदपत्रे द्या लागन बँकेतून पीक कर्ज घ्यायचे?","मी बँकेतून पीक कर्ज घ्यायचे आहे, काय काय कागदपत्रे द्यावी लागतील?",[हाय मले काय काय कागदपत्रे द्या लागन बँकेतून पीक कर्ज घ्यायचे → मी बँकेतून पीक कर्ज घ्यायचे आहे काय काय कागदपत्रे द्यावी लागतील],d4_aug.csv
D4,94.31,120.0,34.38,120.0,0,तुमाले EMI ची पायजे कशी ठेवन असण?,तुम्हाला EMIची पाहिजे कशी ठेवावी?,[INS: तुमाले] [EMI ची पायजे → तुम्हाला EMIची पाहिजे] [INS: ठेवन] [असण → ठेवावी],d4_aug.csv
D4,93.82,100.0,79.41,100.0,14,मधमाशी फार्म मधमाश्या पाळल्या जाण्याचा ठिकाण आहे,मधमाश्या पाळण्याचे ठिकाण फार्म आहे.,[INS: मधमाशी फार्म] [INS: पाळल्या] [जाण्याचा → पाळण्याचे] [DEL: फार्म],d4.csv
D4,93.08,114.29,43.59,114.29,8,महा डी.बी.टी पोर्टलवर मायती भरनं चांगलं हाये का ?,डीबीटी पोर्टलवर पैसे भरणे चांगले आहे का?,[INS: महा डी बी] [टी → डीबीटी] [मायती भरनं चांगलं हाये → पैसे भरणे चांगले आहे],d4.csv
D4,92.83,100.0,76.09,100.0,6,पोरगा तुम्ही कायले माझ्या वडीलांना म्हाले माझ्या हाय?,मुलाला कशामुळे वडिलांना मला माझ्या खूप काय आहे?,[पोरगा तुम्ही कायले माझ्या वडीलांना म्हाले माझ्या हाय → मुलाला कशामुळे वडिलांना मला माझ्या खूप काय आहे],d4_aug.csv
D4,92.8,100.0,76.0,100.0,3,क्यू.आर कोड समदीकडे रायतो का ?,क्रेडिट कार्ड कुठे आहे का?,[INS: क्यू] [आर कोड समदीकडे रायतो → क्रेडिट कार्ड कुठे आहे],d4.csv
D4,92.57,120.0,28.57,120.0,5,मले टी.व्ही चा रिचार्ज करन जमन का ?,मला टीव्हीचा रिचार्ज करणे का?,[INS: मले टी] [व्ही चा → मला टीव्हीचा] [INS: करन] [जमन → करणे],d4.csv
D4,92.5,100.0,75.0,100.0,5,सोल्याची खूप आवक देनारी जात कोनची ?,विवाहाची खूप रक्कम कोठे जाते ?,[सोल्याची → विवाहाची] [INS: आवक] [देनारी जात कोनची → रक्कम कोठे जाते],d4.csv
D4,92.5,100.0,75.0,100.0,12,कर्जासाठी पायजेन असणारा स्कोर मले कसा पायता येईन ?,मला कर्जासाठी असलेला स्कोर कसा मिळेल?,[कर्जासाठी पायजेन असणारा → मला कर्जासाठी असलेला] [INS: मले] [INS: पायता] [येईन → मिळेल],d4.csv
D4,92.5,100.0,75.0,100.0,15,मले काय भेटले हाय? मला खूप आनंद झाला हाय.,काही भेटले? खूप आनंद झाला.,[INS: मले] [काय → काही] [INS: हाय मला] [INS: हाय],d4_aug.csv
D4,92.45,112.5,45.65,112.5,3,के.वाय.सी म्हंजे काय याची मायती मले भेटन का ?,"केवायसी म्हणजे काय, मला त्याची माहिती कशी मिळेल?",[INS: के वाय] [सी म्हंजे → केवायसी म्हणजे] [याची मायती मले भेटन का → मला त्याची माहिती कशी मिळेल],d4.csv
D4,92.35,100.0,74.51,100.0,7,म्हाजी सासू म्हाले जणू माझ्या लाडक्याला खूप प्यासी आहे हाय.,माझ्या सासूला मुलाला खूप प्यासी आहे म्हणून म्हणतायत.,[INS: म्हाजी सासू म्हाले जणू] [लाडक्याला → सासूला] [DEL: मुलाला] [हाय → म्हणून] [DEL: म्हणतायत],d4_aug.csv
D4,92.3,112.5,45.16,112.5,6,पाच एच.पी च्या मोटारीवर किती तुषार सिंचनाच्या किती चिमन्या लावा लागन ?,पाच एचपीच्या ट्रॅक्टरवर किती सिंचनाच्या चिमण्या लावल्या लागतील?,[INS: एच पी] [च्या मोटारीवर → एचपीच्या ट्रॅक्टरवर] [INS: तुषार] [INS: किती] [चिमन्या लावा लागन → चिमण्या लावल्या लागतील],d4.csv
D4,92.13,114.29,40.43,114.29,8,एक एकरमंदी रोगर च प्रमान कस वापरा लागते ?,एका एकारमंदी रोगासाठी किती प्रमाणात वापरला जातो?,[INS: एक] [एकरमंदी रोगर च प्रमान कस वापरा लागते → एका एकारमंदी रोगासाठी किती प्रमाणात वापरला जातो],d4.csv
D4,92.11,120.0,27.03,120.0,3,कोनच्या कोंबडीचं आंडे मायासाठी बेस राहीन ?,कोणाच्या कोंबडीचे अंडे मायेसाठी राहील?,[INS: कोनच्या] [कोंबडीचं आंडे मायासाठी बेस राहीन → कोणाच्या कोंबडीचे अंडे मायेसाठी राहील],d4.csv
D4,91.89,100.0,72.97,100.0,1,आलूले बाजारामंदी काय भाव भेटून रायला ?,बाजारामंदीमुळे बटाट्याचे भाव काय आहेत?,[INS: आलूले] [बाजारामंदी काय → बाजारामंदीमुळे बटाट्याचे] [भेटून रायला → काय आहेत],d4.csv
D4,91.75,100.0,72.5,100.0,14,मोसंबीवर येलो मोसॅक वायरस कोन्या गोष्टीच्या कमीनं होते ?,मोसंबीवर पीला मोसंबीचा व्हायरस कायम होते ?,[INS: येलो मोसॅक] [वायरस कोन्या गोष्टीच्या कमीनं → पीला मोसंबीचा व्हायरस कायम],d4.csv
D4,91.56,100.0,71.88,100.0,2,हाय म्हाले पोरगा काय काय कागदपत्रे द्या लागन बँकेतून पीक कर्जासाठी?,मला मुलाला बँकेतून पीक कर्जासाठी काय काय कागदपत्रे द्यावी लागतील?,[हाय म्हाले पोरगा → मला मुलाला बँकेतून] [DEL: पीक कर्जासाठी] [INS: द्या लागन बँकेतून] [पीक कर्जासाठी → द्यावी लागतील],d4_aug.csv
D4,91.43,100.0,71.43,100.0,10,तन कापनीले किती व्होल्टचं बॅटरी यंत्र वापरतात ?,ते बॅटरी यंत्र किती व्होल्ट वापरतात?,[INS: तन कापनीले किती] [व्होल्टचं → ते] [DEL: किती व्होल्ट],d4.csv
D4,91.32,100.0,71.05,100.0,0,दुभते जनावरं मिळाले कोनकोनचे कागद लागन ?,दुभत्या लोकांना सर्वत्र कागद लागतील का?,[INS: दुभते] [जनावरं मिळाले कोनकोनचे → दुभत्या लोकांना सर्वत्र] [लागन → लागतील] [DEL: का],d4.csv
D4,91.11,100.0,70.37,100.0,5,सामाजिक योजना मले कसा पायता येईन ?,मला सामाजिक योजना कशी मिळेल?,[DEL: मला] [INS: मले कसा] [पायता येईन → कशी मिळेल],d4.csv
D4,90.91,100.0,69.7,100.0,9,हर मईन्याले किस्त कटन का ?,प्रत्येक महिन्यात काय कापले जातात?,[हर मईन्याले किस्त कटन का → प्रत्येक महिन्यात काय कापले जातात],d4.csv
D4,90.58,108.33,49.15,108.33,7,मले कृषी कर्ज भेटन यासाठी म्या पात्र हाय की नाय मले कस तपासता येईन ?,"मला कृषी कर्जासाठी पात्रता आहे की नाही, मी ते कसे तपासू शकेन?",[मले → मला] [INS: कर्ज भेटन यासाठी] [म्या पात्र हाय → कर्जासाठी पात्रता आहे] [नाय मले कस तपासता येईन → नाही मी ते कसे तपासू] [DEL: शकेन],d4.csv
D4,89.57,100.0,65.22,100.0,1,बिमा कितीक परकारचा रायते ?,किती प्रकारचे बिमा आहेत?,[बिमा कितीक परकारचा रायते → किती प्रकारचे बिमा आहेत],d4.csv
D4,89.29,100.0,64.29,100.0,3,थ्या मातीत खतं कोनचे वापरा लागन ?,मातीत कोणते खत वापरावे लागेल?,[INS: थ्या] [खतं कोनचे वापरा लागन → कोणते खत वापरावे लागेल],d4.csv
D4,89.2,100.0,64.0,100.0,2,संत्रा पिकाले किती भाव हाये ?,संत्र्यांचे भाव किती आहेत?,[संत्रा पिकाले → संत्र्यांचे भाव] [INS: भाव] [हाये → आहेत],d4.csv
D4,88.95,100.0,63.16,100.0,7,शाळा शिकासाठी कर्ज भेटन का ?,शिक्षणासाठी कर्ज का?,[INS: शाळा] [शिकासाठी → शिक्षणासाठी] [INS: भेटन],d4.csv
D4,88.91,100.0,63.04,100.0,0,लाभार्थी हटोने म्हंजे काय याची मायती कुठी भेटन ?,लाभार्थीबद्दल काय माहिती आहे आणि ती कुठे मिळेल?,[लाभार्थी हटोने म्हंजे काय याची मायती कुठी भेटन → लाभार्थीबद्दल काय माहिती आहे आणि ती कुठे मिळेल],d4.csv
D4,88.75,100.0,62.5,100.0,3,कर्ज घ्यासाठी मायाकडं कोंते कागद गरजेचे हाय ?,कर्ज घेण्यासाठी कागदपत्रे गरजेची आहेत का?,[INS: घ्यासाठी] [मायाकडं कोंते कागद गरजेचे हाय → घेण्यासाठी कागदपत्रे गरजेची आहेत का],d4.csv
D4,88.46,100.0,61.54,100.0,5,मले पोरगा संध्याकाळी पायजे शाळेत घ्यायला हाय.,मुलाला संध्याकाळी शाळेत जायला पाहिजे का?,[INS: मले] [पोरगा → मुलाला] [INS: पायजे] [घ्यायला हाय → जायला पाहिजे] [DEL: का],d4_aug.csv
D4,88.39,100.0,61.29,100.0,16,मोलस्कीसाइडस गोगलगाय मारण्यासाठी बनवले गेले आहे,गोगलगाय मारण्यासाठी बनवलेले औषध,[INS: मोलस्कीसाइडस] [INS: बनवले] [गेले आहे → बनवलेले औषध],d4.csv
D4,88.21,100.0,60.71,100.0,6,मले गावातल्या गावात मोजमाप कस भेटन ?,मला गावातील मोजमाप कसे मिळेल?,[INS: मले] [गावातल्या गावात → मला गावातील] [कस भेटन → कसे मिळेल],d4.csv
D4,88.1,100.0,60.34,100.0,12,काय तुमाले म्हाळे बँकेचे काय काय कागदपत्रे द्या लागन काय तुम्ही म्हणता?,काय तुम्हाला म्हणता? काय काय बँकेचे कागदपत्रे द्यावी लागतील?,[INS: तुमाले] [म्हाळे बँकेचे → तुम्हाला म्हणता] [INS: कागदपत्रे द्या] [लागन काय तुम्ही म्हणता → बँकेचे कागदपत्रे द्यावी लागतील],d4_aug.csv
