id,text_id,dialect,domain,distortion_score,dialect_text,standard_text,flaw_reason
7,724970,D1,Agriculture,32.0,ब्लास्ट फिशिंग ह्या जवळपास उपलब्ध जाणाऱ्या सामानापासून बनलल्या डायना माईट पासून सहज आणि स्वस्तात केली जाता,ब्लास्ट फिशिंग ह्या जवळपास उपलब्ध असलेल्या सामानापासून डायना मीटपासून सहज आणि स्वस्तात केले जाते.,Unresolved: Pass 2: Hindi leakage 'मीट' instead of 'मीटपासून'
37,708834,D1,Agriculture,25.429,संक्रमणापासना वाचुचा असात नायतर कफाचो त्रास दूर करुचो असात तेच्यात गुलाबाच्या पानांचो उपयोग होता,संक्रमणापासून वाचण्यासाठी असत नाहीतर कफाचा त्रास दूर करण्यासाठी असते तेच्यात गुलाबाच्या पानांचा उपयोग होता,Unresolved: Pass 2: Dialect word 'वाचुचा' remains
172,706910,D1,Banking,22.917,वर्तमान मू्ल्य ह्या मूल्यांकनाचा तारखेनुसार निर्धारित केलेल्यो अपेक्षित उत्पन्न प्रवाहाचो मू्ल्य असा,वर्तमान मूल्य ह्या मूल्यांकनाचा तारखेनुसार निर्धारित केलेल्या अपेक्षित उत्पन्न प्रवाहाचे मूल्य असे.,Unresolved: Pass 2: Non-Marathi language found (Hindi)
226,710800,D1,Agriculture,22.389,पारंपारिक मासेमारी होडिये कमी खर्चात मासेमारी करुक मदत करतत,पारंपारिक मासेमारी कमी खर्चात मासेमारीला मदत करते.,Unresolved: Pass 2: Hindi grammar ending 'त' instead of 'े'
235,724973,D1,Agriculture,22.324,"वन्यजीव शेतीत अन्न , पारंपारिक औषधांसारखे वस्तू , चामडां , लोकर , धागे यांच्यासारख्या सामानाचो समावेश होता","वन्यजीव शेतीत अन्न, पारंपारिक औषधांसारखे वस्तू, चामडे, लोक, धागे यांच्यासारखे सामान समावेश होते.",Unresolved: Pass 2: Hindi word 'लोकर' instead of 'लोक'
1099,708424,D1,Banking,19.0,भाडे खरेदी करारानुसार तू तुझ्या मालकाक केव्हाय माल पाटी देवक शकतस,भाडे खरेदी करारानुसार तू तुझ्या मालकाला केव्हा मालपाटी देऊ शकतस?,Unresolved: Pass 2: Retains regional dialect words (तुझ्या मालकाला)
1159,709958,D1,Banking,19.0,पैशांची समस्या लपवूसाठी काही व्यापाऱ्यांच्या विक्री आणि उत्पन्नासाठी ओवरस्टेट फसवणूक असा,पैशांची समस्या लपवण्यासाठी काही व्यापाऱ्यांच्या विक्री आणि उत्पन्नासाठी ओवरस्टेट फसवणूक असा.,Unresolved: Pass 2: Retains regional dialect words (पैशांची समस्या लपवण्यासाठी)
952,724940,D1,Banking,19.5,थेट परदेशी गुंतवणूक आणि चलन विनिमय दर अश्या क्षेत्रांवर लक्ष केंद्रित करता त्येका आंतरराष्ट्रीय वित्त म्हणतत,थेट परदेशी गुंतवणूक आणि चलन विनिमय दरांवर अशा क्षेत्रांवर लक्ष केंद्रित करून ते आंतरराष्ट्रीय वित्त म्हणतात.,Unresolved: Pass 2: Retains regional dialect words
1576,707264,D1,Banking,18.0,डी.डी.यू.जी.के योजना केंद्रीय मंत्री नितीन गडकरी आणि व्यंकय्या नायडू यांनी लॉन्च केल्यान होता,डी.डी.यू.जी.के योजना केंद्रीय मंत्री नितीन गडकरी आणि व्यंकय्या नायडू यांनी लॉन्च केल्या होत्या,Unresolved: Pass 2: Hindi grammar ending still present
1900,709415,D1,Agriculture,17.5,खाऱ्या पाण्यातले मासे पोहू शकतत आणि मोठ्या गटात एकटे रव्हतत,शुद्ध पाण्यातले मासे पोहू शकतात आणि मोठ्या गटात एकटे तरंगतात,Unresolved: Pass 2: Still retains regional dialect words (तरंगतात)
1864,709007,D1,Banking,17.5,कर्मचाऱ्यांका आपल्या जीवन काळाच्या शेवटाक केलेल्या कामाच्या मोबदल्यात पेंशन मिळता,कर्मचाऱ्यांना आपल्या जीवन काळातील केलेल्या कामाच्या मोबदल्यात पेंशन मिळते.,Unresolved: Pass 2: Still retains 'केलेल्या'
1684,724951,D1,Banking,17.933,"शेअर कॅपिटल ह्या कॉर्पोरेशनच्या शेअर्सची रचना बनवणाऱ्या शेअर्सची संख्या , प्रकार यांचो ही संदर्भ देता",शेअर कॅपिटल ह्या कॉर्पोरेशनच्या शेअर्सची रचना बनवणाऱ्या शेअर्सची संख्या आणि प्रकार यांचा संदर्भ देता.,Unresolved: Pass 2: retains regional dialect word 'ह्या'
2239,710152,D1,Agriculture,17.0,आमच्या गावात हायड्रोपोनिक्सच्या वापरासाठी तंबु बांधले जात असत,आमच्या गावात हायड्रोपोनिक्सच्या वापरासाठी तंबू बांधले जात असते.,Unresolved: Pass 2: Lost essential meaning/entities
2242,709107,D1,Agriculture,17.0,माझ्या गावचे सगळे बायो हासडुच्या प्रक्रियेन धान्य साफ करतत,माझ्या गावाचे सर्व बायो हासडूच्या प्रक्रियेने धान्य साफ करतात.,Unresolved: Pass 2: Retains regional dialect words (च्या)
2257,708409,D1,Agriculture,17.0,बहुतेक संशोधक राळ आधारित मिश्र सामानाच्या उत्पादनात देठाच्या दोराचो उपयोग करतत,बहुतेक संशोधक राळ आधारित मिश्र सामानाच्या उत्पादनात देठाच्या दोराचा उपयोग करतात.,Unresolved: Pass 2: Retains regional dialect words (दोराचो)
2578,706900,D1,Banking,16.5,"फायनान्सात , मालमत्ता कमी असणा म्हणजे गुंतवणूकदाराक नफा होतला अशा प्रकारान गुंतवणूक करुची","फायनान्सात मालमत्ता कमी असणे म्हणजे गुंतवणूकदारांना नफा होतो, अशा प्रकारची गुंतवणूक करावी.",Unresolved: Pass 2: Dialect words (मालमत्ता कमी असणे) retained in standard translation
2581,710380,D1,Agriculture,16.5,माझ्या घरात जूट पासून बनलेली दोरी हा जिच्यावर माझी आउस रोज कपडे सुकवता,माझ्या घरात जूटपासून बनलेली दोरी ज्यावर माझे कपडे रोज सुकवता.,"Unresolved: Pass 2: Dialect words (जूट, आउस) retained in standard translation"
2761,710562,D1,Banking,16.5,इंटरनॅशनल फायनान्शियल रिपोर्टिंग स्टँडर्ड्स फाउंडेशन इनकॉर्पोरेटेड ही ना नफा कॉर्पोरेशन असा,इंटरनॅशनल फायनान्शियल रिपोर्टिंग स्टँडर्ड्स फाउंडेशन इनकॉर्पोरेटेड ना नफा कॉर्पोरेशन असा,Unresolved: Pass 2: Regional dialect word 'ही'
2794,708849,D1,Banking,16.433,नगदी प्रवाह एक व्यावसायिक योजना किंवा आर्थिक उत्पादनात किंवा तेच्या बाहेर पैशे भरुचा वर्णन असा,नगदी प्रवाह म्हणजे एक व्यावसायिक योजना किंवा आर्थिक उत्पादनात किंवा त्याच्या बाहेर पैशाचे वर्णन आहे.,Unresolved: Pass 2: Regional dialect words and incoherent sentence
2851,710277,D1,Agriculture,16.409,तुमका माहित असा हायसिंथ मुळात हलक्या निळा किंवा जांभळा फुल असा,तुमचे माहीत आहे की हायसिंथ मुळात हलका निळा किंवा जांभळा फूल असते.,Unresolved: Pass 2: Retains regional dialect word 'तुमचे'
3202,710761,D1,Banking,16.0,"तुम्ही तुमच्या हिशोबान पंचवीस , पन्नास आणि शंभर पानावाली चेकबुक निवडु शकतस","तुमच्या हिसाबनुसार पंचवीस, पन्नास आणि शंभर पानावाली चेकबुक निवडू शकता",Unresolved: Pass 2: Retains regional dialect word 'तुमच्या हिशोबान'
3079,707867,D1,Banking,16.0,"मनी मार्केट मध्ये प्रचलित असलेल्या व्याजदरांवर आधारित व्याज देतत , असा समिर सांगा होतो","मनी मार्केटमध्ये प्रचलित असलेल्या व्याजदरांवर आधारित व्याज देत आहे, असा समीर सांगतो.",Unresolved: Pass 2: Regional dialect word 'समीर' remains
3253,709921,D1,Agriculture,15.917,तुम्ही बगलासच आसतलास गवात कापू च्या यंत्रान रस्त्याच्या बाजूचा गवात कापला जाता,तुम्ही बगलासच असतलास गवात कापू च्या यंत्रान रस्त्याच्या बाजूचा गवात कापला जाता,"Unresolved: Pass 2: गवात, बगलासच, कापू"
3304,710102,D1,Banking,15.833,सरकारी बाँड कमी स्थिर अर्थव्यवस्थावाले देश अधिक स्थिर अर्थव्यवस्थावाले देशाची मुद्रा हा,सरकारी बाँड कमी स्थिर अर्थव्यवस्थावाले देश अधिक स्थिर अर्थव्यवस्थावाले देशाची मुद्रा आहे,Unresolved: Pass 2: कमी स्थिर अर्थव्यवस्थावाले देश
2908,708938,D1,Banking,16.286,"योजनेचो लाभ अनुसुचित जाती , जन जाती , महिला , दिव्यांग आणि अल्पसंख्यांकाका मिळतलो","या योजनेचा लाभ अनुसूचित जाती, जन जाती, महिला, दिव्यांग आणि अल्पसंख्यांकांना मिळत होता.","Unresolved: Pass 2: Retains regional dialect words (अनुसूचित जाती, जन जाती, महिला, दिव्यांग आणि अल्पसंख्यांकांना)"
2932,710376,D1,Agriculture,16.0,मरीकल्चरमध्ये चांगलो मानवी आहार आणि अस्थिर मत्स्य पालनाचा क्रमाक्रमान निर्मूलन होता,मरीकल्चरमध्ये चांगला मानवी आहार आणि अस्थिर मत्स्य पालनाचा क्रम निर्मूलन झाला.,Unresolved: Pass 2: Retains regional dialect word (अस्थिर)
3571,707509,D1,Banking,15.5,"चालू खात्यातील्या व्यवहारांच्या संख्येवर खयचा पण बंधान नसता , असा मका आसिफना सांगल्यान","चालू खात्यातील व्यवहारांच्या संख्येवर खर्चाचे पण बंधने नसता, असे आसिफनाने सांगितले.",Unresolved: Pass 2: Regional dialect word 'मका' remains
3583,710950,D1,Banking,15.5,मोबाईल पोस्टपेड आणि प्रीपेड रिचार्ज सुवीधा देणाऱ्या कंपन्यांच्या ॲपना पण होता,मोबाईल पोस्टपेड आणि प्रीपेड रिचार्ज सुविधा देणार्या कंपन्यांचे अप पण होते.,Unresolved: Pass 2: Regional dialect word 'अपना' remains
3721,707836,D1,Agriculture,15.5,भारत किसान विधेयक लागू झाल्यामुळा शेती आणि शेतकरी ह्या दोघांचोही फायदो झालो आसा,भारतीय शेतकरी विधेयक लागू झाल्यामुळे शेती आणि शेतकरी दोघांनाही फायदा झाला आहे,Unresolved: Pass 2: किसान विधेयक हा हिंदी भाषेतील शब्द आहे
3727,709592,D1,Banking,15.5,माझ्या अनेक वर्गमित्रांनी विदयार्थी कर्ज घेऊन अभ्यास केलानी हा,माझ्या अनेक वर्गमित्रांनी विद्यार्थी कर्ज घेऊन अभ्यास केला आहे,Unresolved: Pass 2: विदयार्थी हा हिंदी भाषेतील शब्द आहे
3754,707251,D1,Banking,15.5,तुम्ही जोडू इच्छित असलेल्यो बँक खात्याक तुमच्याकडे डेबिट कार्ड असल्याची खात्री करा,तुम्ही जोडू इच्छित असाल तर बँक खात्यात डेबिट कार्ड असल्याची खात्री करा,Unresolved: Pass 2: तुम्ही हा हिंदी भाषेतील शब्द आहे
3757,706413,D1,Banking,15.5,कम्युनिटी बँक मधले कर्मचारी अनेकदा ते सेवा देत असलेलल्यो समुदायांमध्ये रव्हतत,कम्युनिटी बँकेचे कर्मचारी अनेकदा ते सेवा देतात.,Unresolved: Pass 2: कम्युनिटी बँकेचे कर्मचारी अनेकदा ते सेवा देतात हा सारखा वाक्य स्पष्ट नाही
3760,707266,D1,Banking,15.5,भारताचे पंतप्रधान नरेंद्र मोदी यांच्या हस्ते डिजिटल इंडियाचो शुभारंभ करण्यात ईला,भारताचे पंतप्रधान नरेंद्र मोदी यांच्या हस्ते डिजिटल इंडियाचा शुभारंभ करण्यात आला,Unresolved: Pass 2: डिजिटल इंडियाचा हा हिंदी भाषेतील शब्द आहे
3868,707559,D1,Banking,15.409,टार्गेट मार्केट ह्या असा मार्केट हा झय उत्पादनाक बरी मागणी असता,"टार्गेट मार्केट हे असे मार्केट आहे, ज्यासाठी उत्पादनाची बरी मागणी आहे.",Unresolved: Pass 2: Retains regional dialect word (झय)
3874,708155,D1,Banking,15.409,आसलल्या बँक खात्याक सॅलरी खात्यात बदलुच्यासाठी बँक मॅनेजराक याक पत्र लिव्हा,जर बँक खात्यात सॅलरी खात्यात बदल करायचा असेल तर बँक मॅनेजरला पत्र द्यावे.,"Unresolved: Pass 2: Retains regional dialect words (मॅनेजराक, याक, लिव्हा)"
3928,706606,D1,Banking,15.0,अनुदानित कर्ज ह्या आर्थिक गरज असलेल्यो पदवीपूर्व विद्यार्थ्यांकरता कर्जा असतत,अनुदानित कर्ज ही आर्थिक गरज आहे पदवीपूर्व विद्यार्थ्यांसाठी कर्जे आहेत,Unresolved: Pass 2: Regional dialect word 'शेतस' not removed
4078,707639,D1,Agriculture,15.0,तुम्ही पंतप्रधान ग्रामीण आवास योजनेची दोन हजार बावीस ची यादी बघानं घेवा,तुम्ही पंतप्रधान ग्रामीण आवास योजनेची दोन हजार बावीसची यादी पहा.,Unresolved: Pass 2: Retains regional dialect word (तुम्ही)
4156,707877,D1,Banking,15.0,माका म्यूचुअल फंडासाठी यूटीआई एएमसी कंपनीवर लय ईश्वास आसा,मला म्युच्युअल फंडासाठी युटीआय एएमसी कंपनीवर खूप विश्वास आहे.,Unresolved: Pass 2: Regional dialect word (माका)
4168,709165,D1,Agriculture,15.0,डाउनी मिल्ड्यूज वर प्रीहार्वेस्ट एजोक्सिस्ट्रोबिनने उपचार होतत,डाउनी मिल्ड्यूजवर प्रीहार्वेस्ट एजोक्सिस्ट्रोबिनने उपचार होत आहेत.,Unresolved: Pass 2: English word (एजोक्सिस्ट्रोबिनने)
4213,709447,D1,Agriculture,15.0,जलीय तण हार्वेस्टर जेका पाण्यातला गवत काढणारा मशीन म्हणान पण ओळाखतत,जलीय तण हार्वेस्टर जे पाण्यातला गवत काढणारा मशीन म्हणतो पण ओळखत.,Unresolved: Pass 2: Retains regional dialect word 'म्हणतो पण ओळखत'
4357,707864,D1,Agriculture,14.9,मध काढण्यासाठी मधमाश्यांचा पोळा फोडून त्येका चेपतत मग मध मिळता,मध काढण्यासाठी मधमाश्यांचा पोळा फोडून त्यांच्या चेपतात मग मध मिळते.,Unresolved: Pass 2: शेतकऱ्यांचा वापर करून
4435,709479,D1,Agriculture,14.5,तुम्ही कोलेन आणि प्रोटेस्ट कॅन्सरका कमी करूक कच्च्या पपयेचो उपयोग करू शकतास,तुम्ही कोलेन आणि कर्करोगाचे कमी करण्यासाठी कच्च्या पेयांचा उपयोग करू शकता.,Unresolved: Pass 2: Retains regional dialect words (कोलेन)
4480,709995,D1,Agriculture,14.5,"बॉयलर कोंबडेक पिंजऱ्यात नाय मोकळ्या मैदानात सांभाळूचा असता , सुरेशा","बॉयलर कोंबडेक पिंजऱ्यात न मोकळ्या मैदानात सांभाळूचा असता, सुरेशा",Unresolved: Pass 2: Retains regional dialect word (सुरेशा)
4483,709273,D1,Banking,14.5,आपल्या डेबिट कार्डातून बॅन्किंग ऑप्शन मधना भाषा सिलेक्ट केल्यार नेक्स्ट पेज वर जा,आपल्या डेबिट कार्डातून बॅन्किंग ऑप्शन मधून भाषा सिलेक्ट केल्यार नेक्स्ट पेज वर जा,Unresolved: Pass 2: Retains regional dialect word (मधून)
4507,707277,D1,Banking,14.5,पंतप्रधान नरेंद्र मोदी यांच्या हस्तो प्रधानमंत्री जन धन योजना लोकार्पण करण्यात ईला,पंतप्रधान नरेंद्र मोदी यांच्या हस्ते प्रधानमंत्री जन धन योजना लोकार्पण करण्यात आले.,Unresolved: Pass 2: Non-Marathi language (Hindi)
4699,708583,D1,Banking,14.5,ही राष्ट्रीय मानक संस्थांनी बनलली एक आंतरराष्ट्रीय बिगरसरकारी संस्था आसा,ही राष्ट्रीय मानक संस्थांनी एक आंतरराष्ट्रीय बिगरसरकारी संस्था बनवली आहे.,Unresolved: Pass 2: Non-Marathi language (Hindi)
4708,710635,D1,Banking,14.5,केंद्र सरकारना सगळ्यांका शिक्षण देवसाठी कस्तूरबा गांधी योजनेची सुरवात केली,केंद्र सरकारने सगळ्यांच्या शिक्षणासाठी कस्तूरबा गांधी योजनेची सुरुवात केली.,Unresolved: Pass 2: Non-Marathi language (Hindi)
4972,708444,D1,Banking,14.0,भारतीय स्टेट बँकेन ऑक्टोबर दोन हजार चौदामधी ऑनलाईन पासबुक सुविधेची सुरुवात केल्यान,भारतीय स्टेट बँकेने ऑक्टोबर दोन हजार चौदा मध्ये ऑनलाईन पासबुक सुविधेची सुरुवात केली,Unresolved: Pass 2: retains regional dialect word 'चौदा मध्ये'
4642,710246,D1,Banking,14.5,जेव्हा कधी तुका मोठी रक्कम गावतली त्यावेळेक त्या रकमेवर कॅपिटल गेन टॅक्स देवचो लागतलो,जेव्हा कधी तुला मोठी रक्कम घेतली त्यावेळेस त्या रकमेवर कॅपिटल गेन टॅक्स द्यावा लागला.,Unresolved: Pass 2: Regional dialect word 'तुका'
5188,707474,D1,Banking,14.0,"खयचीतरी चांगली गुंवणूकदार कंपनीशी बोलून , तू स्टॉक मध्ये गुंतवणूक करू शकतस","कुठेचीतरी चांगली गुंवणूकदार कंपनीशी बोलून , तू स्टॉक मध्ये गुंतवणूक करू शकतस",Unresolved: Pass 2: Regional dialect word 'कुठेचीतरी' not removed
5287,708543,D1,Banking,14.0,संयुक्त राष्ट्रांच्या पयल्या पंधरा संघटनांपैकी विपो ही संस्था आसा,संयुक्त राष्ट्रांच्या समस्यांपैकी पंधरा संघटनांपैकी विपो ही संस्था आहे,Unresolved: Pass 2: uses Hindi language 'पयल्या'
4864,706526,D1,Banking,14.429,शाब्दिक अर्थान कोरो चेक ह्यो येक चेक असा ज्यात कोणताही आर्थिक मू्ल्य लिवलेला नसता,शाब्दिक अर्थान कोरो चेक ह्या येक चेक असा ज्यात कोणताही आर्थिक मूल्य जोडलेला नसता,Unresolved: Pass 2: retains Hindi grammar endings and unclear sentence structure
5425,708022,D1,Banking,14.0,विद्यार्थी कर्जे विशेष करून विद्यार्थ्याच्या हिशोबाने तयार केलेली आसत,विद्यार्थी कर्जे विशेष करून विद्यार्थ्याच्या हिशोबाने तयार केलेली आहेत.,Unresolved: Pass 2: retains regional dialect word (आहेत)
5473,709522,D1,Banking,13.933,फक्त दुकानदारचो क्यू.आर कोड स्कॅन करा आणि पैसे लिहून देऊन पेमेंट करा किती सोपा असा,फक्त दुकानदारचा क्यूआर कोड स्कॅन करा आणि पैसे लिहून देऊन पेमेंट करा किती सोपा आहे.,Unresolved: Pass 2: retains Hindi word (क्यूआर कोड)
5605,708269,D1,Banking,13.5,खात्यात पैशे भरुच्यासाठी तुमच्या खात्याचो तपशील दिवची गरज नसता,खात्यात पैशे भरून्यासाठी तुमच्या खात्याचा तपशील दिवची गरज नसती.,Unresolved: Pass 2: तुमच्या खात्याचो (regional dialect word) still present
5737,708231,D1,Agriculture,13.5,काकडी हयो जास्ती प्रमाणात केलो जाणारो पसरणारो वेल आसा,काकडी जास्त प्रमाणात किलो जाणार आहे असे आहे.,Unresolved: Pass 2: Regional dialect word 'जाणारो' remains
5758,708355,D1,Banking,13.5,पंतप्रधान नरेंद्र मोदी साहेब आर्थिक विकासाचो घोष करतत,पंतप्रधान नरेंद्र मोदी साहेब आर्थिक विकासाचे घोष करत आहेत.,Unresolved: Pass 2: Regional dialect word 'साहेब' remains
5764,707220,D1,Banking,13.5,एक्स्पे लाइफद्वारा काही क्षणात ह्या सर्व प्रकारचो बिल पेयमेन्ट केला जाता,एक्सपे लाइफद्वारे या सर्व प्रकारची बिल काही क्षणात पेमेंट केले जाते.,Unresolved: Pass 2: Regional dialect word 'लाइफ' remains
