dialect_text,standard_text,dialect
"ग्रामपंचायतीत खाती खाती चेडवा मुली काम करतात, माका नावांचे वाचाव?","ग्रामपंचायतीत खाती खाती चेडवा मुली काम करतात, माका नावांचे वाचावे?",D1
ग्रामपंचायतीत नागरिक नोंदणी कार्यालयासाठी खय जाईला,ग्रामपंचायतीत नागरिक नोंदणी कार्यालयासाठी कुठे जावे लागेल?,D1
माका भाडे वर्गातील घरात राहण्यासाठी खय खातू देयात देण्यात आला,माका भाडे वर्गातील घरात राहण्यासाठी खय खातू देयात देण्यात आला आहे का?,D1
माका ग्रामपंचायतीत नागरिक नोंदणी चालू करण्यासाठी खय काम करू लागला,माका ग्रामपंचायतीत नागरिक नोंदणी चालू करण्यासाठी काय काम करावे लागेल?,D1
माका ग्रामपंचायतीत शौचालय प्रकल्पासाठी खय शेकडा देयात दिला जाईला,माका ग्रामपंचायतीत शौचालय प्रकल्पासाठी कुठे शेकडा देयात दिला जाईल?,D1
"तुका कोणती साडी म्हाय घ्यायची, मी तिला खय पाहिली नाही","तुला कोणती साडी म्हणजे घ्यायची, मी तिला कुठे पाहिली नाही",D1
आमदाराच्या कार्यालयात जाण्यापूर्वी व्हिडिओ कॉन्फरन्स चेडवा करणे निश्चित आहे.,आमदाराच्या कार्यालयात जाण्यापूर्वी व्हिडिओ कॉन्फरन्स चालवणे निश्चित आहे.,D1
माझ्या घरी वरसून एका दिवशी पाण्याची समस्या होती.,माझ्या घरी वरून एका दिवशी पाण्याची समस्या होती का?,D1
माझ्या बाबांनी क्रेडिट कार्ड शिवायचा लाभ मिळाला आसा.,माझ्या बाबांनी क्रेडिट कार्ड शिवायचा लाभ मिळाला आहे का?,D1
माझ्या घरी कायमचे पाण्याची समस्या आसा.,माझ्या घरी कायमचे पाण्याची समस्या आहे का?,D1
स्वीकारण्यायोग्य खाजगी कंपनींची परवानगी मिळवण्यासाठी खाजगी कंपनीचे कार्यालयासाठी कुठे दाखला द्यावा तुका,स्वीकारण्यायोग्य खाजगी कंपनींची परवानगी मिळवण्यासाठी खाजगी कंपनीचे कार्यालयासाठी कुठे दाखला द्यावा तुम्हाला?,D1
"आपण आज पाऊसासाठी घरी राहू द्या, वरसून माका तयार होतात.","आपण आज पाऊसासाठी घरी राहू द्या, वरून मी तयार आहे?",D1
"माझ्याकडे किती दहा रुपये असतील, मी पैसे जमा करायचे आसा तुका","माझ्याकडे किती दशलक्ष रुपये असतील, मी पैसे जमा करणार आहे तुला?",D1
मी गावातील सर्वात मोठी कार्टून म्हाय चेडवा आहे,मी गावातील सर्वात मोठी कार्टून मुलगी आहे का?,D1
माझ्या घरात खूप देवदार वाढली आसा म्हणून आज सगळे काम करीत असतो.,माझ्या घरात खूप देवदार वाढले आहेत म्हणून आज सगळे काम करीत आहेत.,D1
आमच्या बागेत दाणे तुका आले आसा.,आमच्या बागेत दाणे तुला आले आहेत?,D1
आमच्या सोसायटीमध्ये पार्काची साफसफाई होती आसा.,आमच्या सोसायटीमध्ये पार्काची साफसफाई होत आहे का?,D1
"तुका तिच्या मोठ्या बहिणीचे घरी जात आसा, तिथे खूप गरज भासली आसा आहे.","तुला तिच्या मोठ्या बहिणीचे घरी जायचे आहे का ?, तिथे खूप गरज भासली आहे.",D1
"आज माझ्या भावाला खूप थकावट आसली आसा, त्याला चहा देवू देयचो.","आज माझ्या भावाला खूप थकावट लागली आहे, त्याला चहा द्यायचो का?",D1
आज माझ्या भावाला खूप प्रश्न तिच्या शाळेच्या विद्यार्थ्यांना क्रेडिट कार्ड सारखे काम देण्यात आले आसले आहेत.,आज माझ्या भावाने खूप प्रश्न तिच्या शाळेच्या विद्यार्थ्यांना क्रेडिट कार्ड सारखे काम देण्यात आले आहेत.,D1
"बारात काय केलं, मी खूप पैसे खाली वरसून घेतले आसा","बारात काय केले, मी खूप पैसे खाली वरून घेतले आहे?",D1
मी माझ्या बाजारातल्या दवाखान्यात जाऊन बाबा तुका फिरवून घेतो.,मी माझ्या बाजारातल्या दवाखान्यात जाऊन बाबा तुका फिरवून घेतो का?,D1
मी बारात चेडवा खय जाते ते सांगते तो म्हणतो माका पाण्याचे बक्से घेऊन गेलाय.,मी बारात मुलीना कुठे जाते ते सांगते ती म्हणते मला पाण्याचे बक्से घेऊन गेले आहेत का?,D1
माका बारात हातानी खाद्य पदार्थ खरेदी करायचे असते.,बारात हातानी खाद्य पदार्थ खरेदी करावे का?,D1
तुका माझ्या घरी कोणत्या वेळी भोजन होते ते म्हाय असते.,तुका माझ्या घरी कोणत्या वेळी भोजन होते ते म्हण असते.,D1
"माझ्या भावाने आज सकाळी माझ्याकडे सांगितला आसा, की माझ्या कारचे बारा वर्ष होते.","माझ्या भावाने आज सकाळी माझ्याकडे विचारला की, माझ्या कारचे बारा वर्ष होते.",D1
आसा दादाचे क्रेडिट कार्ड चेडव्या तयार केले आहेत.,आसा दादाचे क्रेडिट कार्ड मुलींनी तयार केले आहेत?,D1
"माझ्या भावाने आज संध्याकाळी माझ्याकडे सांगितला आसा, की त्याच्या गावात दुष्काळ आला आसा.","माझ्या भावाने आज संध्याकाळी माझ्याकडे सांगितला की, त्याच्या गावात दुष्काळ आला आहे?",D1
"माझ्या मित्राला सांगितले आसे, त्याने खूप काम वरसून आले आसा.","माझ्या मित्राला सांगितले की, त्याने खूप काम वरून आले आहे?",D1
"माझा मोबाइल होता माका नाही, आता माझी चेडवा सांगते.","माझा मोबाइल होत नाही, आता माझी मुली सांगते का?",D1
ज्या जाग्यावर तुम्ही माका खय गावतात त्या वरती माझा मित्रचा घर आसा.,ज्या ठिकाणी तुम्ही मला म्हणता त्या वरती माझा मित्रचा घर आहे.,D1
आजच्या चेडवा माझ्या कामाचे तुका चालू पडले आहेत!,आजच्या मुलींना माझ्या कामाचे तुला चालू पडले आहेत?,D1
"माझ्याकडे कुठे क्रेडिट कार्ड आहे, खूप उर लागत नाही असं मी तुका म्हणतो.","माझ्याकडे कुठे क्रेडिट कार्ड आहे, खूप उर लागत नाही असं मी तुका म्हणतो.",D1
गावातील मासे सारखे खरेदी करण्यासाठी माका जातो.,गावातील मासे सारखे खरेदी करण्यासाठी मला जाते का?,D1
रेशन कार्डावर खय विनंतीवर प्रमाणपत्र मिळणारी आसा,रेशन कार्डावर कुठे विनंतीवर प्रमाणपत्र मिळेल आहे?,D1
"काय सांगतात ते काही म्हाय, त्यांच्याच दुसऱ्यांचे देणे देतात!","काय सांगतात ते काही म्हणतात, त्यांच्याच दुसऱ्यांचे देणे देतात!",D1
माझ्या कावळ्यांना आज पाण्याची खूप गरज आसा.,माझ्या कावळ्यांना आज पाण्याची खूप गरज आहे का?,D1
आजवर माझ्या वरसून पुण्यावर आल्यापासून म्हाय कुठे कुठे नवीन घडले नाही,आजवर माझ्या वरसून पुण्यावर आल्यापासून म्हण कुठे कुठे नवीन घडले नाही,D1
आज शाळेत तुका गाण्याचे कार्यक्रम आसते,आज शाळेत तुला गाण्याचे कार्यक्रम आहेत?,D1
"माका कुठे व्हायचे असेल, बापाने सांगितले आसे","माका कुठे व्हायचे असेल, बापाने सांगितले आहे?",D1
माका माझ्या भावाच्या बरोबर खेळण्यास किती वरसून गेलो.,माझ्या भावाच्या बरोबर खेळण्यास किती वर्षांपासून गेलो आहे?,D1
माका माझ्या मामाच्या घरी चेडवा खेळत आहेत.,माझ्या मामाच्या घरी मुली खेळत आहेत का?,D1
माझ्या मुलीला आज सकाळी शाळेत जाण्यासाठी मी कोणती वस्तू तुका घेऊन गेले आसा.,माझ्या मुलीला आज सकाळी शाळेत जाण्यासाठी मी कोणती वस्तू तुला घेऊन गेले आहेस?,D1
आजवर माझ्या वरसून पुण्यावर आल्यापासून म्हाय काही नवीन घडले नाही,आजवर माझ्या वरसून पुण्यावर आल्यापासून म्हणजे काही नवीन घडले नाही,D1
माका माझ्या शाळेतील मित्रांबरोबर खेळताना खय गेलो.,माझ्या शाळेतील मित्रांबरोबर खेळताना खय गेलो का?,D1
"आज काळजी करण्यासारखी ची भीती ना आसे, खूप दुर्गम रस्ता वरसून येत आहेत","आज काळजी करण्यासारखी भीती आहे ना, खूप दुर्गम रस्ता वरून येत आहेत",D1
बाारात माझ्या मित्राला पेट्रोल पंपावर तुका देऊन दिल्याचे आसा,बारात माझ्या मित्राला पेट्रोल पंपावर तुला देऊन दिल्याचे आहेस?,D1
"माझ्या मावशीच्या चेडव्या खूप कामाला जायची आसा, ती मला वरसून दिसल्या",माझ्या मावशीच्या मुलींनी सांगितले होते की त्यांची दोन्ही मुली मला वरून दिसल्या आणि मी खूप कामाला जायची आसा होती.,D1
आम्ही आज ताजे मासे पानी वरून काढला,आम्ही आज ताजे मासे पाण्यापासून काढले आहेत?,D1
माझ्या पित्यांनी आज सापडला कुठेच पैशा,माझ्या पित्यांनी आज कुठे पैशा सापडले?,D1
तुका दिवसा घरी माका काय तयार करत असतो,तुला दिवसा घरी माका काय तयार करत असतो?,D1
मागील बाजूनी माका मोबाइल फोन चालू ना,मागील बाजूनी मला मोबाइल फोन काम करत नाही?,D1
माळा तुझ्या घरी कुठेच खायला भात नाही,तुझ्या घरी कुठे खायला भात आहे का?,D1
"मी आज खूप काळजी केली असती, पण माझी मुलगी म्हाय आली.","मी आज खूप काळजी केली असती, पण माझी मुलगी आली का नाही?",D1
त्यांनी कायमचा खाता बंद करण्याची आसा आसा,त्यांनी कायमचा खाता बंद करायला आहे?,D1
तुका मोठ्या भावाना देऊन जावू दे,तुला मोठ्या भावाना देऊन जावू दे?,D1
माका देवळात जातो,माका देवळात जातो आहे का?,D1
