key,dialect,domain,gender,divergence_score,wer_percentage,cer_percentage,standard_oov_ratio,original_transcript,normalized_standard_output,wav_path
IISc_RESPIN_mr_D4_70202_440030_M_BANK_723875_70333020,D4,Banking,MALE,39.39,42.86,7.5,71.43,मोबाईलनं मले बिम्याचे हप्ते भरता येईन का ?,मोबाईलने मला बिम्याचे हप्ते भरता येईल का?,D4/70202/IISc_RESPIN_mr_D4_70202_440030_M_BANK_723875_70333020.wav
IISc_RESPIN_mr_D4_70212_441304_M_BANK_724140_70390980,D4,Banking,MALE,38.75,37.5,20.83,62.5,कर्जाचा अर्ज भराच्या टायमाले मले साक्षीदार लागन का ?,कर्जाचा अर्ज भराच्या वेळी मला साक्षीदार लागेल का?,D4/70212/IISc_RESPIN_mr_D4_70212_441304_M_BANK_724140_70390980.wav
IISc_RESPIN_mr_D4_70172_441304_F_BANK_723794_70354798,D4,Banking,FEMALE,38.69,42.86,17.07,57.14,सामाजिक योजनेमंधून मले कसे पैसे भेटू सकन ?,सामाजिक योजनेमंधून मला कसे पैसे मिळू शकते?,D4/70172/IISc_RESPIN_mr_D4_70172_441304_F_BANK_723794_70354798.wav
IISc_RESPIN_mr_D4_70212_441304_M_AGRI_723291_70388676,D4,Agriculture,MALE,38.66,28.57,14.58,85.71,एका हेक्टरमंदी संत्र्याचे कीती झाडं लावा लागन ?,एका हेक्टरमंदी संत्र्याचे कीती झाडं लावायचे आहेत?,D4/70212/IISc_RESPIN_mr_D4_70212_441304_M_AGRI_723291_70388676.wav
IISc_RESPIN_mr_D4_70532_441302_M_AGRI_723468_70481341,D4,Agriculture,MALE,38.66,28.57,14.58,85.71,दमट वातावरनात पीक चिमल्यासारखं झाल्यासारखं काऊन व्हते ?,दमट वातावरनात पीक चिमल्यासारखं झाल्यास काऊन होते?,D4/70532/IISc_RESPIN_mr_D4_70532_441302_M_AGRI_723468_70481341.wav
IISc_RESPIN_mr_D4_70500_NA_F_AGRI_718792_70475041,D4,Agriculture,FEMALE,38.43,28.57,1.92,100.0,लिमा बीन्स इतर शेंगांप्रमाणेच प्रोटीन ने समृद्ध असतात,लिमा बीन्स इतर शेंगांप्रमाणेच प्रोटीनने समृद्ध असतात,D4/70500/IISc_RESPIN_mr_D4_70500_NA_F_AGRI_718792_70475041.wav
IISc_RESPIN_mr_D4_72220_441303_M_BANK_724024_71079587,D4,Banking,MALE,38.06,37.5,8.11,75.0,"मीन पैसे भरले , मले त्याचा मेसेज येईन का ?","मी पैसे भरले, मला त्याचा मेसेज येईल का?",D4/72220/IISc_RESPIN_mr_D4_72220_441303_M_BANK_724024_71079587.wav
IISc_RESPIN_mr_D4_70255_440030_M_BANK_724188_70331986,D4,Banking,MALE,37.34,42.86,18.52,50.0,यू.पी.आय साठी काही ॲप रायते का ?,यू.पी.आयसाठी काही ॲप आहे का?,D4/70255/IISc_RESPIN_mr_D4_70255_440030_M_BANK_724188_70331986.wav
IISc_RESPIN_mr_D4_70135_441304_M_AGRI_723250_70326124,D4,Agriculture,MALE,37.12,37.5,15.38,62.5,लाल मातीत पानी धरुन ठेवाची ताकद कशी रायते ?,लाल मातीत पाणी धरून ठेवाची ताकद कशी आहे?,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_AGRI_723250_70326124.wav
IISc_RESPIN_mr_D4_70172_441304_F_BANK_723771_70381020,D4,Banking,FEMALE,34.5,33.33,9.43,66.67,डेबिट कार्डातून मले एका दिवसाला किती पैसा काढता येईन ?,डेबिट कार्डातून मला एका दिवसाला किती पैसे काढता येतील?,D4/70172/IISc_RESPIN_mr_D4_70172_441304_F_BANK_723771_70381020.wav
IISc_RESPIN_mr_D4_70178_441401_F_BANK_723836_70360626,D4,Banking,FEMALE,34.3,25.0,3.92,87.5,माह्या खात्यातून हर महिन्याले कर्जाचे कितीक पैसे कटन ?,माह्या खात्यातून हर महिन्याला कर्जाचे किती पैसे कटन?,D4/70178/IISc_RESPIN_mr_D4_70178_441401_F_BANK_723836_70360626.wav
IISc_RESPIN_mr_D4_70135_441304_M_BANK_723720_70327118,D4,Banking,MALE,34.18,33.33,17.65,55.56,यू.पी.आय न पैसा पाठवन सोपं हाय का ?,यू.पी.आय न पैसा पाठवणे सोपे आहे का?,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_BANK_723720_70327118.wav
IISc_RESPIN_mr_D4_70304_441306_F_AGRI_723213_70443597,D4,Agriculture,FEMALE,33.5,33.33,20.0,50.0,पीक विमा काढनं बरं हाये का ?,पीक विमा काढणे बरं आहे का?,D4/70304/IISc_RESPIN_mr_D4_70304_441306_F_AGRI_723213_70443597.wav
IISc_RESPIN_mr_D4_70212_441304_M_BANK_723842_70387892,D4,Banking,MALE,32.93,25.0,9.76,75.0,मले माया खात्यात पैसे बाकी ठेवता येईन का ?,मला माया खात्यात पैसे बाकी ठेवता येतील का?,D4/70212/IISc_RESPIN_mr_D4_70212_441304_M_BANK_723842_70387892.wav
IISc_RESPIN_mr_D4_71315_440001_F_AGRI_722513_70746128,D4,Agriculture,FEMALE,32.91,22.22,1.35,90.0,विल्टिंग म्हणजे वनस्पतीं च्या काष्ठ नसलेल्या भागांच्या कठीणपणाचे नुकसान होय,विल्टिंग म्हणजे वनस्पतींच्या काष्ठ नसलेल्या भागांच्या कठीणपणाचे नुकसान होय,D4/71315/IISc_RESPIN_mr_D4_71315_440001_F_AGRI_722513_70746128.wav
IISc_RESPIN_mr_D4_70212_441304_M_BANK_723630_70390955,D4,Banking,MALE,32.38,28.57,5.56,71.43,गॅसचं बिल मले युटिलिटीन भरता येईन का ?,गॅसचं बिल मला युटिलिटीन भरता येईल का?,D4/70212/IISc_RESPIN_mr_D4_70212_441304_M_BANK_723630_70390955.wav
IISc_RESPIN_mr_D4_70494_440001_F_BANK_723963_70443790,D4,Banking,FEMALE,31.62,25.0,5.41,75.0,क्यू.आर कोडन मले पेट्रोल भरता येईन का ?,क्यू.आर कोडन मला पेट्रोल भरता येईल का?,D4/70494/IISc_RESPIN_mr_D4_70494_440001_F_BANK_723963_70443790.wav
IISc_RESPIN_mr_D4_70566_441304_M_AGRI_723054_70552896,D4,Agriculture,MALE,30.28,25.0,11.36,62.5,या हप्त्यामंदी कापसाचे दर वाढायले काय कारण हाये ?,या हप्त्यामंदी कापसाचे दर वाढले काय कारण आहे?,D4/70566/IISc_RESPIN_mr_D4_70566_441304_M_AGRI_723054_70552896.wav
IISc_RESPIN_mr_D4_70624_441111_F_AGRI_722781_70611778,D4,Agriculture,FEMALE,30.09,20.0,3.64,80.0,"लुफा करी बहुतेक उन्हाळ्यात बनविली जाते , मला लुफा करी आवडते","लुफा कर बहुतेक उन्हाळ्यात बनविली जाते, मला लुफा कर आवडते.",D4/70624/IISc_RESPIN_mr_D4_70624_441111_F_AGRI_722781_70611778.wav
IISc_RESPIN_mr_D4_70172_441304_F_BANK_724077_70380662,D4,Banking,FEMALE,29.88,25.0,6.56,66.67,आधार कार्डले मोबाईल नंबर जोडला तवाचं के.वाय.सी मेसेज येईन का ?,आधार कार्डला मोबाईल नंबर जोडला तवाचले के.वाय.सी मेसेज येईल का?,D4/70172/IISc_RESPIN_mr_D4_70172_441304_F_BANK_724077_70380662.wav
IISc_RESPIN_mr_D4_70131_440030_M_AGRI_723175_70388075,D4,Agriculture,MALE,29.8,16.67,4.88,83.33,पेरनीनंतर किती दिवसांनी पानी द्या लागते ?,पेरनीनंतर किती दिवसांनी पानी द्यावे लागते?,D4/70131/IISc_RESPIN_mr_D4_70131_440030_M_AGRI_723175_70388075.wav
IISc_RESPIN_mr_D4_70522_441102_F_AGRI_721786_70532777,D4,Agriculture,FEMALE,28.59,14.29,2.44,85.71,भारत कापसाचा आयात आणी निर्यात दोन्ही करतो,भारत कापसाचा आयात आणि निर्यात दोन्ही करतो,D4/70522/IISc_RESPIN_mr_D4_70522_441102_F_AGRI_721786_70532777.wav
IISc_RESPIN_mr_D4_70304_441306_F_BANK_720455_70411872,D4,Banking,FEMALE,28.51,25.0,1.96,66.67,नेट बँकिंग द्वारे तुम्ही लाभार्थी ला पैसे पाठवू शकता,नेट बँकिंगद्वारे तुम्ही लाभार्थी ला पैसे पाठवू शकता,D4/70304/IISc_RESPIN_mr_D4_70304_441306_F_BANK_720455_70411872.wav
IISc_RESPIN_mr_D4_70283_441302_F_BANK_719722_70386651,D4,Banking,FEMALE,28.49,25.0,1.92,66.67,मी नोकरी सोबतच डिजिटल आणि सोशल मीडिया मार्केटिंग करतो,मी नोकरीसोबतच डिजिटल आणि सोशल मीडिया मार्केटिंग करतो,D4/70283/IISc_RESPIN_mr_D4_70283_441302_F_BANK_719722_70386651.wav
IISc_RESPIN_mr_D4_70157_440034_M_BANK_718983_70403284,D4,Banking,MALE,28.31,12.5,2.7,87.5,क्यू.आर कोडने पैशे भरले तर वेळ वाचवतो,क्यू.आर कोडने पैसे भरले तर वेळ वाचवतो,D4/70157/IISc_RESPIN_mr_D4_70157_440034_M_BANK_718983_70403284.wav
IISc_RESPIN_mr_D4_70236_441111_M_AGRI_718802_70403391,D4,Agriculture,MALE,28.27,22.22,5.36,66.67,एम.एस स्वामिनाथन यांनी भारतात हरित क्रांतिचा आधार मांडला,एम.एस स्वामिनाथन यांनी भारतात हरित क्रांतीचे आधार मांडले,D4/70236/IISc_RESPIN_mr_D4_70236_441111_M_AGRI_718802_70403391.wav
IISc_RESPIN_mr_D4_70200_440030_F_AGRI_723256_70384583,D4,Agriculture,FEMALE,28.18,25.0,4.35,62.5,रासायनिक खत जास्त वापरल्यानं वावर खराब होईन का ?,रासायनिक खत जास्त वापरल्याने वावर खराब होईल का?,D4/70200/IISc_RESPIN_mr_D4_70200_440030_F_AGRI_723256_70384583.wav
IISc_RESPIN_mr_D4_70131_440030_M_AGRI_723167_70388224,D4,Agriculture,MALE,28.15,25.0,4.26,62.5,मले कमी खर्चामंदी संत्र्याची शेती कशी करता येईन ?,मला कमी खर्चामंदी संत्र्याची शेती कशी करता येईल?,D4/70131/IISc_RESPIN_mr_D4_70131_440030_M_AGRI_723167_70388224.wav
IISc_RESPIN_mr_D4_70304_441306_F_AGRI_723506_70352793,D4,Agriculture,FEMALE,27.54,16.67,4.29,75.0,जास्त चुनखडी वाल्या शेतीत संत्रे मोसंबीचा बगीचा तयार भरनं ठीक राहीन का ?,जास्त चुनखडी वाल्या शेतीत संत्रे मोसंबीचा बगीचा तयार भरणे ठीक राहील का?,D4/70304/IISc_RESPIN_mr_D4_70304_441306_F_AGRI_723506_70352793.wav
IISc_RESPIN_mr_D4_70200_440030_F_AGRI_722941_70389433,D4,Agriculture,FEMALE,27.43,20.0,11.43,60.0,ट्रॅक्टर रोटावेटोरची लांबी किती रायते ?,ट्रॅक्टर रोटावेटोरची लांबी किती आहे?,D4/70200/IISc_RESPIN_mr_D4_70200_440030_F_AGRI_722941_70389433.wav
IISc_RESPIN_mr_D4_70245_441304_M_BANK_718991_70344188,D4,Banking,MALE,27.33,18.18,1.33,75.0,"जागतिक अर्थ व्यवस्थेत , देशाची अर्थ व्यवस्था संस्कृती आणि कला यावर आधारित असते",जागतिक अर्थव्यवस्थेत देशाची अर्थ व्यवस्था संस्कृती आणि कला यावर आधारित असते,D4/70245/IISc_RESPIN_mr_D4_70245_441304_M_BANK_718991_70344188.wav
IISc_RESPIN_mr_D4_70245_441304_M_BANK_723652_70328317,D4,Banking,MALE,27.01,14.29,9.09,71.43,कमी वेळेच्या कर्जाचे हप्ते किती परकारचे रायते ?,कमी वेळेच्या कर्जाचे हप्ते किती परकारचे आहेत?,D4/70245/IISc_RESPIN_mr_D4_70245_441304_M_BANK_723652_70328317.wav
IISc_RESPIN_mr_D4_70459_441401_M_AGRI_723108_70565712,D4,Agriculture,MALE,25.6,16.67,4.76,66.67,एका हेक्टर संत्र्यामंदी किती फेरेमन सापडन ?,एका हेक्टर संत्र्यामंदी किती फेरेमन सापडेल?,D4/70459/IISc_RESPIN_mr_D4_70459_441401_M_AGRI_723108_70565712.wav
IISc_RESPIN_mr_D4_70135_441304_M_BANK_724164_70327156,D4,Banking,MALE,25.59,22.22,5.66,55.56,सोने गहान ठोल्यावर पैसे घेतल्यास मले किती व्याज लागन ?,सोने गहान ठोल्यावर पैसे घेतल्यास मला किती व्याज लागेल?,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_BANK_724164_70327156.wav
IISc_RESPIN_mr_D4_70178_441401_F_BANK_720259_70394553,D4,Banking,FEMALE,25.41,22.22,1.37,60.0,मनी मार्केट खातेदाराला मनी मार्केट मध्ये प्रचलित व्याजदरानुसार व्याज मिळते,मनी मार्केट खातेदाराला मनी मार्केटमध्ये प्रचलित व्याजदरानुसार व्याज मिळते,D4/70178/IISc_RESPIN_mr_D4_70178_441401_F_BANK_720259_70394553.wav
IISc_RESPIN_mr_D4_71101_440001_F_BANK_723690_70668687,D4,Banking,FEMALE,25.22,14.29,3.12,71.43,आधार कार्डा संग मोबाईल जोडल्या वर मले के.वाय.सी चा मेसेज येईन का ?,आधार कार्डा संग मोबाईल जोडल्या वर मला के.वाय.सी चा मेसेज येईल का?,D4/71101/IISc_RESPIN_mr_D4_71101_440001_F_BANK_723690_70668687.wav
IISc_RESPIN_mr_D4_71917_441203_M_BANK_723695_70950644,D4,Banking,MALE,25.17,22.22,4.26,55.56,क्रेडिट कार्डनं मी एका दिवशी कितीक खर्च करू सकतो ?,क्रेडिट कार्डनं मी एका दिवशी किती खर्च करू शकतो?,D4/71917/IISc_RESPIN_mr_D4_71917_441203_M_BANK_723695_70950644.wav
IISc_RESPIN_mr_D4_70236_441111_M_BANK_723633_70491522,D4,Banking,MALE,25.11,20.0,3.7,60.0,ॲक्सिडंट बिमा कसा भरता येईन ?,ॲक्सिडंट बिमा कसा भरता येईल?,D4/70236/IISc_RESPIN_mr_D4_70236_441111_M_BANK_723633_70491522.wav
IISc_RESPIN_mr_D4_70131_440030_M_AGRI_719238_70388327,D4,Agriculture,MALE,25.0,0.0,0.0,100.0,"अंड्याच्या फळाच्या मांसामध्ये कडक , गडद तपकिरी बिया असतात","अंड्याच्या फळाच्या मांसामध्ये कडक, गडद तपकिरी बिया असतात.",D4/70131/IISc_RESPIN_mr_D4_70131_440030_M_AGRI_719238_70388327.wav
IISc_RESPIN_mr_D4_70494_440001_F_AGRI_722263_70413866,D4,Agriculture,FEMALE,25.0,0.0,0.0,100.0,कॅटागॅट उत्पादक सहसा मेंढी वापरतात,कॅटागॅट उत्पादक सहसा मेंढी वापरतात,D4/70494/IISc_RESPIN_mr_D4_70494_440001_F_AGRI_722263_70413866.wav
IISc_RESPIN_mr_D4_70500_NA_F_BANK_719977_70475686,D4,Banking,FEMALE,25.0,0.0,0.0,100.0,वैदिक काळातही पंचायती अस्तित्वात होत्या,वैदिक काळातही पंचायती अस्तित्वात होत्या,D4/70500/IISc_RESPIN_mr_D4_70500_NA_F_BANK_719977_70475686.wav
IISc_RESPIN_mr_D4_71166_441105_F_AGRI_723532_70651697,D4,Agriculture,FEMALE,25.0,0.0,0.0,100.0,मोसंबीचे झाड पिवळे काऊन पडते ?,मोसंबीचे झाड पिवळे काऊन पडते?,D4/71166/IISc_RESPIN_mr_D4_71166_441105_F_AGRI_723532_70651697.wav
IISc_RESPIN_mr_D4_70135_441304_M_BANK_721656_70327753,D4,Banking,MALE,24.53,25.0,2.6,50.0,"के.वाय.सी करण्यात अयशस्वी झाल्यास , एखादी व्यक्ती बँक खाते उघडण्यास नकार देऊ शकते",केवायसी करण्यात अयशस्वी झाल्यास एखादी व्यक्ती बँक खाते उघडण्यास नकार देऊ शकते,D4/70135/IISc_RESPIN_mr_D4_70135_441304_M_BANK_721656_70327753.wav
IISc_RESPIN_mr_D4_70566_441304_M_BANK_724517_70581379,D4,Banking,MALE,22.92,0.0,0.0,91.67,राज्यसभेवर निवडून आलेले सदस्य स्थानिक क्षेत्र विकास योजनेंतर्गत त्यांच्या क्षेत्राबाहेरील जिल्ह्याची निवडते,राज्यसभेवर निवडून आलेले सदस्य स्थानिक क्षेत्र विकास योजनेंतर्गत त्यांच्या क्षेत्राबाहेरील जिल्ह्याची निवडते,D4/70566/IISc_RESPIN_mr_D4_70566_441304_M_BANK_724517_70581379.wav
IISc_RESPIN_mr_D4_70131_440030_M_BANK_722677_70388325,D4,Banking,MALE,22.91,25.0,1.82,44.44,हरवलेले डेबिट कार्ड नेटबँकिंग द्वारे ब्लॉक केले जाऊ शकते,हरवलेले डेबिट कार्ड नेटबँकिंगद्वारे ब्लॉक केले जाऊ शकते,D4/70131/IISc_RESPIN_mr_D4_70131_440030_M_BANK_722677_70388325.wav
