key,dialect,domain,gender,divergence_score,wer_percentage,cer_percentage,standard_oov_ratio,original_transcript,normalized_standard_output,wav_path
IISc_RESPIN_mr_D2_70404_422004_M_AGRI_712810_71175361,D2,Agriculture,MALE,55.68,50.0,27.27,100.0,जनावरस करता फार्म पशु कल्याण परिषद बनाडेल शे,जनावरांना फार्म पशु कल्याण परिषद बनवतात,D2/70404/IISc_RESPIN_mr_D2_70404_422004_M_AGRI_712810_71175361.wav
IISc_RESPIN_mr_D2_70987_422004_F_BANK_713197_71034217,D2,Banking,FEMALE,54.94,57.14,26.0,85.71,अनुदानित कर्ज हायी कर्मचारीस्ना फायदाना रुपमा दखतस,अनुदानित कर्ज कर्मचार्यांना फायदाना रुपमा दखत आहे,D2/70987/IISc_RESPIN_mr_D2_70987_422004_F_BANK_713197_71034217.wav
IISc_RESPIN_mr_D2_71310_422006_F_BANK_712880_70781027,D2,Banking,FEMALE,54.32,50.0,22.73,100.0,भारत सरकार लघु उद्योगना करता पैसासनी मदत करस,भारत सरकार लघु उद्योगासाठी पैसाची मदत करते,D2/71310/IISc_RESPIN_mr_D2_71310_422006_F_BANK_712880_70781027.wav
IISc_RESPIN_mr_D2_70429_400604_M_AGRI_713250_70474171,D2,Agriculture,MALE,54.17,66.67,25.0,66.67,पिकनी शेती मा येगयेगळा पिके लेतस,पिकनी शेतीमध्ये येगळे पिके घेतात,D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_AGRI_713250_70474171.wav
IISc_RESPIN_mr_D2_70429_400604_M_AGRI_714312_70484539,D2,Agriculture,MALE,54.11,50.0,22.03,100.0,ईकोनीस शतकलोंग हाऊ उद्योग लघु उद्योग म्हणीसन ईकशीत कराना शे,ईकोनीस शतकले उद्योग लघु उद्योग म्हणून ईकशीत करावे?,D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_AGRI_714312_70484539.wav
IISc_RESPIN_mr_D2_71422_422008_F_BANK_714447_70801484,D2,Banking,FEMALE,53.73,55.56,21.67,88.89,युध्दना कायमा बराच लोकेस्नी शेअर बजारमा पैसा गुताडात म्हणे,युध्दना कायमा बराच लोकांचे शेअर बाजारात पैसे गुंतवतात म्हणते,D2/71422/IISc_RESPIN_mr_D2_71422_422008_F_BANK_714447_70801484.wav
IISc_RESPIN_mr_D2_70429_400604_M_BANK_713596_70473178,D2,Banking,MALE,52.6,46.15,29.17,92.31,"सामान्यत बचत खाता ना प्रकारमा आपली नियमित जमा , मुद्रा आन सबसीडी हाई ह्रास","सामान्यत बचत खात्यात आपली नियमित जमा, मुद्रा आणि सबसीडी आहे.",D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_BANK_713596_70473178.wav
IISc_RESPIN_mr_D2_70436_431131_M_BANK_713132_71156643,D2,Banking,MALE,52.41,50.0,37.21,75.0,राम ना निव्वळ नफामा मार्जिन भलतच कमी व्हतं,राम ना निव्वळ नफामध्ये मार्जिन कमी झाले आहे,D2/70436/IISc_RESPIN_mr_D2_70436_431131_M_BANK_713132_71156643.wav
IISc_RESPIN_mr_D2_72808_422012_M_AGRI_713265_71248791,D2,Agriculture,MALE,48.5,40.0,18.33,100.0,"ढोरक्या जंगल , मैदान आनी वावरेसमा दिनभर ढोरे चारत फिरतस","ढोरक्या जंगल, मैदान आणि वावरेसमध्ये दिनभर ढोरे चारत फिरत आहेत.",D2/72808/IISc_RESPIN_mr_D2_72808_422012_M_AGRI_713265_71248791.wav
IISc_RESPIN_mr_D2_71035_422008_F_AGRI_724731_70758685,D2,Agriculture,FEMALE,48.46,47.37,37.86,63.16,दोन हजार तीन या सालमा गोडा पानीमधला झिंगानं आख्खा जगमधलं वरीसनं उत्पन्न दोन लाख ऐंशी हजार टन एवढं व्हतं,दोन हजार तीन या वर्षी गोडा पानीमधला झिंगाने जगातील जगातील तेव्हा उत्पन्न दोन लाख टन एवढले.,D2/71035/IISc_RESPIN_mr_D2_71035_422008_F_AGRI_724731_70758685.wav
IISc_RESPIN_mr_D2_70423_422009_F_AGRI_714525_70448467,D2,Agriculture,FEMALE,47.25,50.0,20.0,75.0,सेंद्रीय शेतीमा परंपरागत शेतीना तुलनामा कमी उत्पादन येस,सेंद्रीय शेतीमध्ये परंपरागत शेतीच्या तुलनेत कमी उत्पादन येते,D2/70423/IISc_RESPIN_mr_D2_70423_422009_F_AGRI_714525_70448467.wav
IISc_RESPIN_mr_D2_71074_422004_M_BANK_713341_71173116,D2,Banking,MALE,47.14,50.0,16.67,78.57,यापारी क्यू.आर.कोड ना उपेग करीसन यू.पी.आय वरी यवहार करु शकतस,यापारी क्यू.आर.कोडचा उपयोग करून यू.पी.आय वरून यवहार करू शकतो.,D2/71074/IISc_RESPIN_mr_D2_71074_422004_M_BANK_713341_71173116.wav
IISc_RESPIN_mr_D2_71690_422004_M_AGRI_714690_71017592,D2,Agriculture,MALE,46.24,50.0,19.61,71.43,"चवळीनं पीक राजस्थान , कर्नाटक , केरळमा जास्त पिकसं","चवळीचे पीक राजस्थान, कर्नाटक, केरळमध्ये जास्त पिक आहे.",D2/71690/IISc_RESPIN_mr_D2_71690_422004_M_AGRI_714690_71017592.wav
IISc_RESPIN_mr_D2_70339_422101_M_AGRI_712726_70508199,D2,Agriculture,MALE,46.22,44.44,13.33,88.89,आलू बुखारनी शेती भारत ना डोंगराय भाग मान करतस,आलू बुखारनी शेती भारताचा डोंगराय भाग मानतो,D2/70339/IISc_RESPIN_mr_D2_70339_422101_M_AGRI_712726_70508199.wav
IISc_RESPIN_mr_D2_70429_400604_M_AGRI_714218_70484529,D2,Agriculture,MALE,45.5,33.33,18.33,100.0,जंगलतोडमझार वन जमिननं रुपांतर वावर नैते सयेरना करता व्हस,जंगलतोडमझार वन जमिनीचे स्वरूपांतर वावर नैते सयेरना करता येते.,D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_AGRI_714218_70484529.wav
IISc_RESPIN_mr_D2_71310_422006_F_BANK_714760_70779187,D2,Banking,FEMALE,43.19,44.44,21.74,66.67,नफा झाया का तोटा हाई आर्थिक विवरण पत्रकमा समजस,नफा झाला का तोटा आर्थिक विवरण पत्रात समजतो.,D2/71310/IISc_RESPIN_mr_D2_71310_422006_F_BANK_714760_70779187.wav
IISc_RESPIN_mr_D2_71652_422005_F_BANK_715835_70901423,D2,Banking,FEMALE,42.3,50.0,3.51,75.0,बँकेतील देवाण घेवाण बँकेच्या काही मार्गदर्शकां नुसार असते,बँकेतील देवाणघेवाण बँकेच्या काही मार्गदर्शकांनुसार असते,D2/71652/IISc_RESPIN_mr_D2_71652_422005_F_BANK_715835_70901423.wav
IISc_RESPIN_mr_D2_71433_422009_F_BANK_715870_70807665,D2,Banking,FEMALE,39.9,33.33,8.93,88.89,भविष्य निर्वाह निधी ला पेन्शन निधीच्या नावाने ओळखलं जातं,भविष्य निर्वाह निधी पेन्शन निधीच्या नावाने ओळखले जाते,D2/71433/IISc_RESPIN_mr_D2_71433_422009_F_BANK_715870_70807665.wav
IISc_RESPIN_mr_D2_70999_440001_M_AGRI_713979_71190802,D2,Agriculture,MALE,39.36,33.33,11.76,83.33,मगरिस संगोपन करनं आपले फायदामा शे,मगरिस संगोपन करणे आपले फायदामा आहे,D2/70999/IISc_RESPIN_mr_D2_70999_440001_M_AGRI_713979_71190802.wav
IISc_RESPIN_mr_D2_72424_422004_M_BANK_712873_71216522,D2,Banking,MALE,38.49,22.22,11.63,100.0,हर साल ले इंक्रिमेंट व्हस तशा पगार वाढत जास,हर साल इंक्रिमेंट व्हस तशा पगार वाढत जातो?,D2/72424/IISc_RESPIN_mr_D2_72424_422004_M_BANK_712873_71216522.wav
IISc_RESPIN_mr_D2_70795_422005_F_BANK_714240_70583294,D2,Banking,FEMALE,38.11,28.57,12.77,85.71,निव्वय वर्तमान मूल्य सवलतना दरवर अवलंबून रहास,निव्वय वर्तमान मूल्य सवल्यास दरवर अवलंबून राहतो.,D2/70795/IISc_RESPIN_mr_D2_70795_422005_F_BANK_714240_70583294.wav
IISc_RESPIN_mr_D2_72413_422004_M_AGRI_716387_71196630,D2,Agriculture,MALE,36.74,33.33,3.03,83.33,लिली च्या फुलाला सहा पाकळया असतात,लिलीच्या फुलाला सहा पाकळया असतात,D2/72413/IISc_RESPIN_mr_D2_72413_422004_M_AGRI_716387_71196630.wav
IISc_RESPIN_mr_D2_72304_410506_M_AGRI_714332_71065807,D2,Agriculture,MALE,36.17,28.57,18.18,71.43,पशु खत हाई पैसा देणारं उत्पादन शे,पशु खत पैसा देणारं उत्पादन आहे,D2/72304/IISc_RESPIN_mr_D2_72304_410506_M_AGRI_714332_71065807.wav
IISc_RESPIN_mr_D2_70795_422005_F_BANK_713090_70582530,D2,Banking,FEMALE,35.67,36.36,11.32,63.64,तुले स्पॉट बाजार नी काही नवीन माहिती माहीत पडेल शे का ?,तुला स्पॉट बाजाराची काही नवीन माहिती माहीत पडेल का?,D2/70795/IISc_RESPIN_mr_D2_70795_422005_F_BANK_713090_70582530.wav
IISc_RESPIN_mr_D2_71439_422004_F_AGRI_713902_70786465,D2,Agriculture,FEMALE,35.54,33.33,12.9,66.67,एकल पोषक खतना दर्जा चांगला शे,एकल पोषक खताचा दर्जा चांगला आहे,D2/71439/IISc_RESPIN_mr_D2_71439_422004_F_AGRI_713902_70786465.wav
IISc_RESPIN_mr_D2_70795_422005_F_AGRI_715747_70584494,D2,Agriculture,FEMALE,35.07,28.57,2.63,85.71,पिक कापणी नंतर वेळ येते पिक साठवण्याची,पिक कापणीनंतर वेळ येते पिक साठवण्याची,D2/70795/IISc_RESPIN_mr_D2_70795_422005_F_AGRI_715747_70584494.wav
IISc_RESPIN_mr_D2_70423_422009_F_BANK_713056_70444378,D2,Banking,FEMALE,35.04,25.0,6.38,87.5,नवजात उद्योजकतावाला तीन महिना पगार देऊ शकतस नयी,नवजात उद्योजकतावाला तीन महिना पगार देऊ शकत नाही,D2/70423/IISc_RESPIN_mr_D2_70423_422009_F_BANK_713056_70444378.wav
IISc_RESPIN_mr_D2_70429_400604_M_AGRI_714351_70473190,D2,Agriculture,MALE,34.73,37.5,17.86,50.0,प्रधानमंत्री कृषी सिंचन योजनानी करता पाच कागदपत्रे लागतस,प्रधानमंत्री कृषी सिंचन योजनेसाठी पाच कागदपत्रे लागतात,D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_AGRI_714351_70473190.wav
IISc_RESPIN_mr_D2_70339_422101_M_AGRI_715311_70508665,D2,Agriculture,MALE,34.59,30.0,3.64,80.0,आरारोट ची पेस्ट करून जखमेवर लावल्यास रक्त येणं बंद होतं,आरारोटची पेस्ट करून जखमेवर लावल्यास रक्त येणं बंद होते,D2/70339/IISc_RESPIN_mr_D2_70339_422101_M_AGRI_715311_70508665.wav
IISc_RESPIN_mr_D2_70429_400604_M_BANK_715223_70484670,D2,Banking,MALE,33.6,27.27,2.9,81.82,सुशीला ने आपली सर्व माहिती भरून नेट बँकिंग सुविधेसाठी रजिस्ट्रेशन केल,सुशीलाने आपली सर्व माहिती भरून नेट बँकिंग सुविधेसाठी रजिस्ट्रेशन केले,D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_BANK_715223_70484670.wav
IISc_RESPIN_mr_D2_70423_422009_F_BANK_713293_70449197,D2,Banking,FEMALE,32.67,28.57,6.52,71.43,रोहितनी पंजाब नॅशनल बँकनं पासबुक ऑनलाइन तपासं,रोहितनी पंजाब नॅशनल बँकने पासबुक ऑनलाइन तपासले,D2/70423/IISc_RESPIN_mr_D2_70423_422009_F_BANK_713293_70449197.wav
IISc_RESPIN_mr_D2_71690_422004_M_AGRI_714300_71017573,D2,Agriculture,MALE,32.53,20.0,11.76,80.0,ऊस कारखानामझार ऊसपासून गूय बनाडतंस,ऊस कारखानामझार ऊसपासून गूय बनवतात,D2/71690/IISc_RESPIN_mr_D2_71690_422004_M_AGRI_714300_71017573.wav
IISc_RESPIN_mr_D2_70371_422008_F_AGRI_713887_70464820,D2,Agriculture,FEMALE,31.76,25.0,5.88,75.0,राजू घरगुती ग्रीनहाऊसमा चांगला काच वापरतस समजना का,राजू घरगुती ग्रीनहाऊसमा चांगले काच वापरतात समजना का?,D2/70371/IISc_RESPIN_mr_D2_70371_422008_F_AGRI_713887_70464820.wav
IISc_RESPIN_mr_D2_71035_422008_F_AGRI_716029_70736999,D2,Agriculture,FEMALE,31.16,30.0,17.19,50.0,मेंढ्या पाळणे हा जगातल्या सगळ्यात जुन्या व्यवसायामधलं एक काम आहे,मेंढ्या पाळणे हा जगातील सर्वात जुन्या व्यवसायांचे एक काम आहे,D2/71035/IISc_RESPIN_mr_D2_71035_422008_F_AGRI_716029_70736999.wav
IISc_RESPIN_mr_D2_71081_422009_F_AGRI_712772_71140378,D2,Agriculture,FEMALE,30.65,14.29,9.3,85.71,क्रेप चमेलीना फूलसकन माला आणि जयमाला बनाडतस,क्रेप चमेलीना फूलसकन माला आणि जयमाला बनवतात,D2/71081/IISc_RESPIN_mr_D2_71081_422009_F_AGRI_712772_71140378.wav
IISc_RESPIN_mr_D2_70429_400604_M_AGRI_717513_70488183,D2,Agriculture,MALE,29.7,30.0,4.0,60.0,शेतीमाल विकण्यासाठी मी स्वत:चे ॲप तयार करु शकतो का ?,शेतीमाल विकण्यासाठी मी स्वतःचे ॲप तयार करू शकतो का?,D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_AGRI_717513_70488183.wav
IISc_RESPIN_mr_D2_71062_421004_F_AGRI_713892_70895731,D2,Agriculture,FEMALE,29.48,14.29,5.41,85.71,फळस झाळे कलम आणि बियापासिन वाढू शकतस,फळस झाळे कलम आणि बियापासिन वाढू शकतात,D2/71062/IISc_RESPIN_mr_D2_71062_421004_F_AGRI_713892_70895731.wav
IISc_RESPIN_mr_D2_71035_422008_F_BANK_715681_70762859,D2,Banking,FEMALE,29.3,12.5,6.0,87.5,त्यामधून सगळ्यात मुख्य वित्तीय लेखा मानक बोर्ड आहे,त्यामधून सर्वात मुख्य वित्तीय लेखा मानक बोर्ड आहे,D2/71035/IISc_RESPIN_mr_D2_71035_422008_F_BANK_715681_70762859.wav
IISc_RESPIN_mr_D2_70423_422009_F_AGRI_715928_70437961,D2,Agriculture,FEMALE,25.0,0.0,0.0,100.0,मगरींना पाळण्यासाठी त्यांना दलदलीच्या ठिकाणी ठेवलं जातं,मगरींना पाळण्यासाठी त्यांना दलदलीच्या ठिकाणी ठेवलं जातं,D2/70423/IISc_RESPIN_mr_D2_70423_422009_F_AGRI_715928_70437961.wav
IISc_RESPIN_mr_D2_70795_422005_F_BANK_715930_70582519,D2,Banking,FEMALE,25.0,0.0,0.0,100.0,मजेत उद्योजकतेचा आधार नफ्यावर अवलंबून नसतो,मजेत उद्योजकतेचा आधार नफ्यावर अवलंबून नसतो,D2/70795/IISc_RESPIN_mr_D2_70795_422005_F_BANK_715930_70582519.wav
IISc_RESPIN_mr_D2_72312_441102_M_BANK_717954_71162935,D2,Banking,MALE,25.0,0.0,0.0,100.0,कर्जफेडीच्या शेवटच्या हफ्त्याची तारीख सांगा,कर्जफेडीच्या शेवटच्या हफ्त्याची तारीख सांगा,D2/72312/IISc_RESPIN_mr_D2_72312_441102_M_BANK_717954_71162935.wav
IISc_RESPIN_mr_D2_71433_422009_F_BANK_718573_70820192,D2,Banking,FEMALE,24.68,42.86,6.06,14.29,के.वाय.सी अद्यावत करणे म्हणजे काय ?,केवायसी अद्यावत करणे म्हणजे काय?,D2/71433/IISc_RESPIN_mr_D2_71433_422009_F_BANK_718573_70820192.wav
IISc_RESPIN_mr_D2_72440_422004_M_BANK_716002_71235649,D2,Banking,MALE,24.12,20.0,5.95,53.33,"मी ओपन एंडेड म्युचल फंड मध्ये गुंतवणूक केली होती , त्यामधून मी कधीही बाहेर पडू शकते","मी ओपन एंडेड म्युच्युअल फंडमध्ये गुंतवणूक केली होती, त्यामधून मी कधीही बाहेर पडू शकते.",D2/72440/IISc_RESPIN_mr_D2_72440_422004_M_BANK_716002_71235649.wav
IISc_RESPIN_mr_D2_71652_422005_F_BANK_716685_70901412,D2,Banking,FEMALE,22.22,0.0,0.0,88.89,बँक चोऱ्यांना आळा घालण्यासाठी राजकीय पोलिसांना सज्ज राहावे लागते,बँक चोऱ्यांना आळा घालण्यासाठी राजकीय पोलिसांना सज्ज राहावे लागते,D2/71652/IISc_RESPIN_mr_D2_71652_422005_F_BANK_716685_70901412.wav
IISc_RESPIN_mr_D2_71439_422004_F_AGRI_716840_70786459,D2,Agriculture,FEMALE,21.88,0.0,0.0,87.5,बंगाल हरभरा मानवी अन्नासाठी तसेच प्राण्यांसाठी वापरला जातो,बंगाल हरभरा मानवी अन्नासाठी तसेच प्राण्यांसाठी वापरला जातो,D2/71439/IISc_RESPIN_mr_D2_71439_422004_F_AGRI_716840_70786459.wav
IISc_RESPIN_mr_D2_72312_441102_M_BANK_715120_71156874,D2,Banking,MALE,21.88,0.0,0.0,87.5,मनीऑर्डर पाठवण्यापूर्वी जोगिंदरने प्राप्तकर्त्याच्या जागी रोहितचे नाव लिहिले,मनीऑर्डर पाठवण्यापूर्वी जोगिंदरने प्राप्तकर्त्याच्या जागी रोहितचे नाव लिहिले,D2/72312/IISc_RESPIN_mr_D2_72312_441102_M_BANK_715120_71156874.wav
IISc_RESPIN_mr_D2_72304_410506_M_AGRI_716201_71065995,D2,Agriculture,MALE,21.43,0.0,0.0,85.71,शेवाळ नाशक पाण्यामध्ये असणाऱ्या जंतूंचा नाश करते,शेवाळ नाशक पाण्यामध्ये असणाऱ्या जंतूंचा नाश करते,D2/72304/IISc_RESPIN_mr_D2_72304_410506_M_AGRI_716201_71065995.wav
IISc_RESPIN_mr_D2_71439_422004_F_BANK_718344_70803769,D2,Banking,FEMALE,21.41,25.0,2.63,37.5,गोल्ड बॉण्ड साठी मला अर्ज करता येईल का ?,गोल्ड बॉण्डसाठी मला अर्ज करता येईल का?,D2/71439/IISc_RESPIN_mr_D2_71439_422004_F_BANK_718344_70803769.wav
IISc_RESPIN_mr_D2_70429_400604_M_AGRI_716975_70484684,D2,Agriculture,MALE,21.29,14.29,1.92,57.14,शेतकरी शेतातील पीक बाजारातच विकण्यास प्राधान्य देतात,शेतकरी शेतातील पीक बाजारात विकण्यास प्राधान्य देतात,D2/70429/IISc_RESPIN_mr_D2_70429_400604_M_AGRI_716975_70484684.wav
IISc_RESPIN_mr_D2_70371_422008_F_AGRI_715842_70453640,D2,Agriculture,FEMALE,20.83,0.0,0.0,83.33,बल्क टँक स्टील चा बनलेला असतो,बल्क टँक स्टील चा बनलेला असतो,D2/70371/IISc_RESPIN_mr_D2_70371_422008_F_AGRI_715842_70453640.wav
IISc_RESPIN_mr_D2_70371_422008_F_AGRI_717650_70465160,D2,Agriculture,FEMALE,20.83,0.0,0.0,83.33,बटाटा ह्या पिकाची लागवड कशी करावी ?,बटाटा ह्या पिकाची लागवड कशी करावी?,D2/70371/IISc_RESPIN_mr_D2_70371_422008_F_AGRI_717650_70465160.wav
IISc_RESPIN_mr_D2_70371_422008_F_BANK_715038_70453449,D2,Banking,FEMALE,20.45,0.0,0.0,81.82,पे रोल म्हणजे एखाद्या कंपनीने तिच्या कर्मचाऱ्यांना मेहनताना देण्याचे काम होय,पे रोल म्हणजे एखाद्या कंपनीने तिच्या कर्मचाऱ्यांना मेहनताना देण्याचे काम होय,D2/70371/IISc_RESPIN_mr_D2_70371_422008_F_BANK_715038_70453449.wav
IISc_RESPIN_mr_D2_70795_422005_F_AGRI_717567_70585552,D2,Agriculture,FEMALE,20.0,0.0,0.0,80.0,पेरूवरील अळीचा बंदोबस्त कसा करावा ?,पेरूवरील अळीचा बंदोबस्त कसा करावा?,D2/70795/IISc_RESPIN_mr_D2_70795_422005_F_AGRI_717567_70585552.wav
IISc_RESPIN_mr_D2_71433_422009_F_BANK_716427_70808405,D2,Banking,FEMALE,20.0,0.0,0.0,80.0,ग्राहक पॅकेज केलेल्या वस्तूंच्या उत्पादकांद्वारे कस्टम कूपन जारी केले जातात,ग्राहक पॅकेज केलेल्या वस्तूंच्या उत्पादकांद्वारे कस्टम कूपन जारी केले जातात,D2/71433/IISc_RESPIN_mr_D2_71433_422009_F_BANK_716427_70808405.wav
IISc_RESPIN_mr_D2_71439_422004_F_AGRI_716418_70788281,D2,Agriculture,FEMALE,19.64,0.0,0.0,78.57,हळद ही चार ते पाच फुटांपर्यंत वाढणारी वनस्पती असून ती झाडाच्या मुळांच्या गाठींमध्ये आढळते,हळद ही चार ते पाच फुटांपर्यंत वाढणारी वनस्पती असून ती झाडाच्या मुळांच्या गाठींमध्ये आढळते,D2/71439/IISc_RESPIN_mr_D2_71439_422004_F_AGRI_716418_70788281.wav
IISc_RESPIN_mr_D2_70371_422008_F_BANK_718464_70465138,D2,Banking,FEMALE,18.5,25.0,3.33,25.0,यू.पी.आय चा वापर कसा केला जातो ?,यू.पी.आयचा वापर कसा केला जातो?,D2/70371/IISc_RESPIN_mr_D2_70371_422008_F_BANK_718464_70465138.wav
IISc_RESPIN_mr_D2_70339_422101_M_AGRI_715831_70508091,D2,Agriculture,MALE,18.18,0.0,0.0,72.73,बकरीच्या उच्च अनुवांशिक योग्यतेच्या नोंदणी असलेल्या जाती फक्त बारा जाती आहेत,बकरीच्या उच्च अनुवांशिक योग्यतेच्या नोंदणी असलेल्या जाती फक्त बारा जाती आहेत,D2/70339/IISc_RESPIN_mr_D2_70339_422101_M_AGRI_715831_70508091.wav
IISc_RESPIN_mr_D2_70371_422008_F_AGRI_717732_70465141,D2,Agriculture,FEMALE,17.95,9.09,8.33,45.45,द्राक्षावर कोणते रोग पडू शकतात ? त्याची खबरदारी म्हणून काय उपाययोजना करावी ?,द्राक्षावर कोणते रोग पडू शकतात? त्याची माहिती म्हणून काय उपाययोजना करावी?,D2/70371/IISc_RESPIN_mr_D2_70371_422008_F_AGRI_717732_70465141.wav
IISc_RESPIN_mr_D2_70423_422009_F_AGRI_717361_70451346,D2,Agriculture,FEMALE,17.86,0.0,0.0,71.43,तूरीची लागवड जानेवारी महिन्यात करता येईल का ?,तूरीची लागवड जानेवारी महिन्यात करता येईल का?,D2/70423/IISc_RESPIN_mr_D2_70423_422009_F_AGRI_717361_70451346.wav
IISc_RESPIN_mr_D2_71035_422008_F_AGRI_714907_70736963,D2,Agriculture,FEMALE,17.86,0.0,0.0,71.43,केळीच्या झाडाच्या खोडाच्या आत केळीचे फूल असते,केळीच्या झाडाच्या खोडाच्या आत केळीचे फूल असते,D2/71035/IISc_RESPIN_mr_D2_71035_422008_F_AGRI_714907_70736963.wav
IISc_RESPIN_mr_D2_70970_422003_F_BANK_718357_71229310,D2,Banking,FEMALE,17.86,0.0,0.0,71.43,विम्याचा हफ्ता सहामाही असतो कि मासिक असतो ?,विम्याचा हफ्ता सहामाही असतो कि मासिक असतो?,D2/70970/IISc_RESPIN_mr_D2_70970_422003_F_BANK_718357_71229310.wav
IISc_RESPIN_mr_D2_71035_422008_F_BANK_715063_70758166,D2,Banking,FEMALE,17.5,0.0,0.0,70.0,बँकेत जाऊन रमेशने प्रभारी अधिकाऱ्याच्या मदतीने कर्जाची उरलेली रक्कम बघितली,बँकेत जाऊन रमेशने प्रभारी अधिकाऱ्याच्या मदतीने कर्जाची उरलेली रक्कम बघितली,D2/71035/IISc_RESPIN_mr_D2_71035_422008_F_BANK_715063_70758166.wav
IISc_RESPIN_mr_D2_71035_422008_F_AGRI_716198_70763703,D2,Agriculture,FEMALE,17.26,8.33,3.37,50.0,"शेतीसाठी सगळ्यात चांगल्या उपकरणांचा उपयोग करण्याचा सल्ला म्हणजे , नवीन पद्धतींचा विकास करणे",शेतीसाठी सर्वात चांगल्या उपकरणांचा उपयोग करण्याचा सल्ला म्हणजे नवीन पद्धतींचा विकास करणे,D2/71035/IISc_RESPIN_mr_D2_71035_422008_F_AGRI_716198_70763703.wav
